Mubicipality,Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate
ILLINOIS,2018,1,"6,402,888","6,073,308","329,580",5.1
ILLINOIS,2018,2,"6,465,073","6,148,189","316,884",4.9
ILLINOIS,2018,3,"6,457,921","6,176,874","281,047",4.4
ILLINOIS,2018,4,"6,431,536","6,183,863","247,673",3.9
ILLINOIS,2018,5,"6,444,502","6,207,860","236,642",3.7
ILLINOIS,2018,6,"6,549,636","6,243,360","306,276",4.7
ILLINOIS,2018,7,"6,550,697","6,257,760","292,937",4.5
ILLINOIS,2018,8,"6,444,502","6,165,856","278,646",4.3
ILLINOIS,2018,9,"6,434,449","6,183,875","250,574",3.9
ILLINOIS,2018,10,"6,471,469","6,204,889","266,580",4.1
ILLINOIS,2018,11,"6,465,845","6,206,995","258,850",4
ILLINOIS,2018,12,"6,448,961","6,164,827","284,134",4.4
ILLINOIS,2018,13,"6,463,957","6,184,805","279,152",4.3
BLOOMINGTON MSA,2018,1,"95,221","90,880","4,341",4.6
BLOOMINGTON MSA,2018,2,"97,835","93,699","4,136",4.2
BLOOMINGTON MSA,2018,3,"97,797","93,738","4,059",4.2
BLOOMINGTON MSA,2018,4,"98,129","94,725","3,404",3.5
BLOOMINGTON MSA,2018,5,"97,120","93,717","3,403",3.5
BLOOMINGTON MSA,2018,6,"95,500","91,077","4,423",4.6
BLOOMINGTON MSA,2018,7,"95,664","91,356","4,308",4.5
BLOOMINGTON MSA,2018,8,"94,624","90,553","4,071",4.3
BLOOMINGTON MSA,2018,9,"96,670","92,926","3,744",3.9
BLOOMINGTON MSA,2018,10,"97,637","93,559","4,078",4.2
BLOOMINGTON MSA,2018,11,"97,848","94,043","3,805",3.9
BLOOMINGTON MSA,2018,12,"96,088","91,798","4,290",4.5
BLOOMINGTON MSA,2018,13,"96,678","92,673","4,005",4.1
CARBONDALE-MARION MSA,2018,1,"58,617","55,573","3,044",5.2
CARBONDALE-MARION MSA,2018,2,"60,350","57,389","2,961",4.9
CARBONDALE-MARION MSA,2018,3,"60,426","57,464","2,962",4.9
CARBONDALE-MARION MSA,2018,4,"60,797","58,283","2,514",4.1
CARBONDALE-MARION MSA,2018,5,"59,384","56,848","2,536",4.3
CARBONDALE-MARION MSA,2018,6,"58,349","55,276","3,073",5.3
CARBONDALE-MARION MSA,2018,7,"60,159","57,116","3,043",5.1
CARBONDALE-MARION MSA,2018,8,"59,146","56,196","2,950",5
CARBONDALE-MARION MSA,2018,9,"60,978","58,302","2,676",4.4
CARBONDALE-MARION MSA,2018,10,"61,641","58,831","2,810",4.6
CARBONDALE-MARION MSA,2018,11,"61,879","59,195","2,684",4.3
CARBONDALE-MARION MSA,2018,12,"61,107","58,113","2,994",4.9
CARBONDALE-MARION MSA,2018,13,"60,236","57,382","2,854",4.7
CHAMPAIGN-URBANA MSA,2018,1,"117,214","111,633","5,581",4.8
CHAMPAIGN-URBANA MSA,2018,2,"124,752","119,437","5,315",4.3
CHAMPAIGN-URBANA MSA,2018,3,"124,718","119,593","5,125",4.1
CHAMPAIGN-URBANA MSA,2018,4,"126,233","121,733","4,500",3.6
CHAMPAIGN-URBANA MSA,2018,5,"124,316","119,642","4,674",3.8
CHAMPAIGN-URBANA MSA,2018,6,"119,185","113,337","5,848",4.9
CHAMPAIGN-URBANA MSA,2018,7,"120,372","114,641","5,731",4.8
CHAMPAIGN-URBANA MSA,2018,8,"116,489","111,083","5,406",4.6
CHAMPAIGN-URBANA MSA,2018,9,"124,717","119,740","4,977",4
CHAMPAIGN-URBANA MSA,2018,10,"127,458","121,985","5,473",4.3
CHAMPAIGN-URBANA MSA,2018,11,"126,351","121,329","5,022",4
CHAMPAIGN-URBANA MSA,2018,12,"125,060","119,762","5,298",4.2
CHAMPAIGN-URBANA MSA,2018,13,"123,072","117,826","5,246",4.3
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,1,"3,707,462","3,524,056","183,406",4.9
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,2,"3,743,558","3,568,549","175,009",4.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,3,"3,725,612","3,581,002","144,610",3.9
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,4,"3,699,374","3,564,237","135,137",3.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,5,"3,703,136","3,576,701","126,435",3.4
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,6,"3,791,507","3,620,538","170,969",4.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,7,"3,787,338","3,627,458","159,880",4.2
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,8,"3,729,684","3,580,319","149,365",4
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,9,"3,700,091","3,568,001","132,090",3.6
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,10,"3,722,019","3,581,520","140,499",3.8
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,11,"3,721,402","3,592,168","129,234",3.5
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,12,"3,715,565","3,577,585","137,980",3.7
CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS METROPOLITAN DIVISION,2018,13,"3,728,896","3,580,178","148,718",4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,1,"4,828,314","4,587,069","241,245",5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,2,"4,874,279","4,640,501","233,778",4.8
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,3,"4,860,302","4,658,832","201,470",4.1
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,4,"4,830,358","4,649,598","180,760",3.7
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,5,"4,839,250","4,669,066","170,184",3.5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,6,"4,946,105","4,721,918","224,187",4.5
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,7,"4,946,224","4,734,354","211,870",4.3
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,8,"4,868,735","4,668,811","199,924",4.1
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,9,"4,836,973","4,659,288","177,685",3.7
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,10,"4,865,563","4,676,901","188,662",3.9
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,11,"4,865,169","4,688,201","176,968",3.6
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,12,"4,859,838","4,663,822","196,016",4
CHICAGO-NAPERVILLE-ELGIN-IL-IN-WI MSA,2018,13,"4,868,426","4,668,197","200,229",4.1
DANVILLE MSA,2018,1,"33,461","31,194","2,267",6.8
DANVILLE MSA,2018,2,"33,754","31,537","2,217",6.6
DANVILLE MSA,2018,3,"34,095","31,948","2,147",6.3
DANVILLE MSA,2018,4,"33,835","32,016","1,819",5.4
DANVILLE MSA,2018,5,"33,830","32,018","1,812",5.4
DANVILLE MSA,2018,6,"33,784","31,668","2,116",6.3
DANVILLE MSA,2018,7,"33,790","31,651","2,139",6.3
DANVILLE MSA,2018,8,"33,022","30,971","2,051",6.2
DANVILLE MSA,2018,9,"33,209","31,382","1,827",5.5
DANVILLE MSA,2018,10,"33,496","31,600","1,896",5.7
DANVILLE MSA,2018,11,"33,285","31,468","1,817",5.5
DANVILLE MSA,2018,12,"33,269","31,157","2,112",6.3
DANVILLE MSA,2018,13,"33,569","31,551","2,018",6
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,1,"189,754","180,144","9,610",5.1
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,2,"189,875","180,787","9,088",4.8
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,3,"191,459","182,922","8,537",4.5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,4,"192,029","184,833","7,196",3.7
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,5,"192,450","185,627","6,823",3.5
"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL MSA",2018,6,"195,347","187,286","8,061",4.1
