Municipality,Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate
ILLINOIS,,,,,,
ILLINOIS,2019,1,"6,437,765","6,099,151","338,614",5.3
ILLINOIS,2019,2,"6,458,354","6,155,027","303,327",4.7
ILLINOIS,2019,3,"6,458,721","6,172,449","286,272",4.4
ILLINOIS,2019,4,"6,413,186","6,179,181","234,005",3.6
ILLINOIS,2019,5,"6,416,363","6,193,870","222,493",3.5
ILLINOIS,2019,6,"6,517,399","6,249,824","267,575",4.1
ILLINOIS,2019,7,"6,534,712","6,257,765","276,947",4.2
ILLINOIS,2019,8,"6,459,291","6,201,522","257,769",4
ILLINOIS,2019,9,"6,426,636","6,203,708","222,928",3.5
ILLINOIS,2019,10,"6,443,336","6,218,595","224,741",3.5
ILLINOIS,2019,11,"6,416,333","6,201,160","215,173",3.4
ILLINOIS,2019,12,"6,377,232","6,156,835","220,397",3.5
BLOOMINGTON MSA,2019,13,"6,446,610","6,190,757","255,853",4
BLOOMINGTON MSA,2019,1,"95,611","90,681","4,930",5.2
BLOOMINGTON MSA,2019,2,"96,764","92,394","4,370",4.5
BLOOMINGTON MSA,2019,3,"96,136","91,886","4,250",4.4
BLOOMINGTON MSA,2019,4,"97,432","94,250","3,182",3.3
BLOOMINGTON MSA,2019,5,"95,642","92,629","3,013",3.2
BLOOMINGTON MSA,2019,6,"94,703","91,076","3,627",3.8
BLOOMINGTON MSA,2019,7,"95,224","91,316","3,908",4.1
BLOOMINGTON MSA,2019,8,"94,794","91,165","3,629",3.8
BLOOMINGTON MSA,2019,9,"96,430","93,091","3,339",3.5
BLOOMINGTON MSA,2019,10,"97,093","93,814","3,279",3.4
BLOOMINGTON MSA,2019,11,"96,687","93,575","3,112",3.2
BLOOMINGTON MSA,2019,12,"94,887","91,717","3,170",3.3
CARBONDALE-MARION MSA,2019,13,"95,951","92,300","3,651",3.8
CARBONDALE-MARION MSA,2019,1,"59,692","56,375","3,317",5.6
CARBONDALE-MARION MSA,2019,2,"61,131","58,252","2,879",4.7
CARBONDALE-MARION MSA,2019,3,"61,268","58,421","2,847",4.6
CARBONDALE-MARION MSA,2019,4,"60,969","58,876","2,093",3.4
CARBONDALE-MARION MSA,2019,5,"59,666","57,641","2,025",3.4
CARBONDALE-MARION MSA,2019,6,"58,579","56,201","2,378",4.1
CARBONDALE-MARION MSA,2019,7,"59,841","57,273","2,568",4.3
CARBONDALE-MARION MSA,2019,8,"59,041","56,583","2,458",4.2
CARBONDALE-MARION MSA,2019,9,"60,580","58,370","2,210",3.6
CARBONDALE-MARION MSA,2019,10,"60,810","58,549","2,261",3.7
CARBONDALE-MARION MSA,2019,11,"61,081","58,915","2,166",3.5
CARBONDALE-MARION MSA,2019,12,"60,100","57,870","2,230",3.7
CHAMPAIGN-URBANA MSA,2019,13,"60,230","57,777","2,453",4.1
CHAMPAIGN-URBANA MSA,2019,1,"119,399","113,144","6,255",5.2
CHAMPAIGN-URBANA MSA,2019,2,"126,305","120,759","5,546",4.4
CHAMPAIGN-URBANA MSA,2019,3,"125,648","120,288","5,360",4.3
CHAMPAIGN-URBANA MSA,2019,4,"126,428","122,254","4,174",3.3
CHAMPAIGN-URBANA MSA,2019,5,"124,671","120,662","4,009",3.2
CHAMPAIGN-URBANA MSA,2019,6,"119,703","115,043","4,660",3.9
CHAMPAIGN-URBANA MSA,2019,7,"120,871","115,804","5,067",4.2
CHAMPAIGN-URBANA MSA,2019,8,"117,754","113,159","4,595",3.9
CHAMPAIGN-URBANA MSA,2019,9,"125,984","121,810","4,174",3.3
CHAMPAIGN-URBANA MSA,2019,10,"128,412","124,075","4,337",3.4
