Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
APR,18,Abingdon,4,16,603651.7,566558.53,37093.17,157837,120665.03,37171.97,11151.7,9293.08,1858.62
APR,18,Adams County,11,39,1423481.83,1300846.71,122635.12,445136,322500.88,122635.12,36790.85,30659.07,6131.78
APR,18,Addieville,1,4,125319.47,115157.1,10162.37,43978,33815.68,10162.32,3048.75,2540.63,508.12
APR,18,Addison,18,87,7406526.45,6787079.34,619447.11,2326649,1707229.75,619419.25,185826.66,154855.56,30971.1
APR,18,Albany,2,8,160712.8,148034.61,12678.19,53648,40969.71,12678.29,3803.57,3169.64,633.93
APR,18,Albers,1,3,122024.43,113246,8778.43,41470,32691.57,8778.43,2633.58,2194.65,438.93
APR,18,Albion,2,7,99018.57,93739.4,5279.17,18533,13254.09,5278.91,1583.67,1319.72,263.95
APR,18,Aledo,4,14,522418.6,481699.56,40719.04,144201,103482.86,40718.14,12215.61,10179.69,2035.92
APR,18,Alexander County,3,12,417628.19,390963.47,26664.72,123039,96374.19,26664.81,7999.64,6666.36,1333.28
APR,18,Alexis,2,7,108068.51,96575.26,11493.25,34016,22523.18,11492.82,3447.97,2873.3,574.67
APR,18,Algonquin,15,69,2346391.1,2156398.47,189992.63,752736,562742.38,189993.62,56998.56,47498.83,9499.73
APR,18,Alhambra,2,5,109671,103077.02,6593.98,31526,24932.02,6593.98,1978.28,1648.57,329.71
APR,18,Alorton,2,10,1545522.06,1435905.26,109616.8,470879,361262.66,109616.34,32885.05,27404.22,5480.83
APR,18,Alsey,1,5,200630.58,182620.01,18010.57,69021,51010.19,18010.81,5403.22,4502.69,900.53
APR,18,Alsip,13,65,5353257.78,4914952.39,438305.39,1697301,1259062.92,438238.08,131471.9,109559.96,21911.94
APR,18,Altamont,7,31,726435.54,675857.3,50578.24,204711,154131.95,50579.05,15174,12645,2529
APR,18,Alton,32,137,7246863.46,6695520.61,551342.85,2190445,1639102.1,551342.9,165404.08,137836.78,27567.3
APR,18,Altona,1,5,177542.45,165638.84,11903.61,50355,38451.39,11903.61,3571.14,2975.96,595.18
APR,18,Amboy,6,28,969761.52,895428.61,74332.91,290521,216208.79,74312.21,22293.96,18578.3,3715.66
APR,18,Andalusia,1,4,69922.83,65502.63,4420.2,19664,15243.65,4420.35,1326.18,1105.16,221.02
APR,18,Anna,9,42,1349389.66,1253652.48,95737.18,397661,301924.36,95736.64,28721.22,23934.37,4786.85
APR,18,Annawan,3,15,865787.07,798927.26,66859.81,271270,204410.05,66859.95,20058.15,16715.13,3343.02
APR,18,Antioch,12,57,4396347.4,4034954.84,361392.56,1367890,1006497.18,361392.82,108418.45,90348.72,18069.73
APR,18,Arcola,2,8,314301.63,288726.94,25574.69,99781,74206.16,25574.84,7672.47,6393.73,1278.74
APR,18,Arenzville,1,2,40223.24,37545.95,2677.29,13000,10322.81,2677.19,803.17,669.31,133.86
APR,18,Argenta,2,10,253281.39,237491.4,15789.99,75232,59442.01,15789.99,4737.03,3947.53,789.5
APR,18,Arlington,1,4,131944.81,118771.71,13173.1,39815,26641.9,13173.1,3951.98,3293.32,658.66
APR,18,Aroma Park,4,15,592588.4,540522.21,52066.19,207667,155601.14,52065.86,15619.87,13016.56,2603.31
APR,18,Arthur,3,14,497486.62,464014.43,33472.19,151751,118278.86,33472.14,10041.76,8368.14,1673.62
APR,18,Ashkum,2,6,274701.8,257934.57,16767.23,88832,72064.81,16767.19,5030.17,4191.82,838.35
APR,18,Ashland,2,9,268980.94,242313.07,26667.87,86921,60253.13,26667.87,8000.49,6667.09,1333.4
