Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
AUG,19,Abingdon,4,16,527521.05,487400.61,40120.44,157778,117657.54,40120.46,13239.59,11233.61,2005.98
AUG,19,Adams County,12,46,1551551.01,1415384.59,136166.42,487937,351770.5,136166.5,44935.02,38126.69,6808.33
AUG,19,Addieville,1,4,69126.03,63879.64,5246.39,25977,20730.44,5246.56,1731.38,1469.05,262.33
AUG,19,Addison,22,105,7386495.5,6710049.55,676445.95,2346350,1669858.27,676491.73,223242.41,189417.81,33824.6
AUG,19,Albany,2,8,195872.9,176870.02,19002.88,74827,55823.71,19003.29,6271.03,5320.87,950.16
AUG,19,Albers,1,4,124988.69,113254.28,11734.41,42070,30335.59,11734.41,3872.4,3285.67,586.73
AUG,19,Albion,4,17,217849.78,198969.17,18880.61,56810,37929.29,18880.71,6230.54,5286.51,944.03
AUG,19,Aledo,6,24,616286.07,564783.83,51502.24,193618,142115.53,51502.47,16995.7,14420.58,2575.12
AUG,19,Alexander County,3,13,382576.22,350375.92,32200.3,112471,80270.09,32200.91,10626.31,9016.27,1610.04
AUG,19,Alexis,2,7,106702.87,95340.41,11362.46,37356,25993.54,11362.46,3749.61,3181.49,568.12
AUG,19,Algonquin,17,76,2476296.63,2270976.72,205319.91,819824,614503.03,205320.97,67755.93,57489.91,10266.02
AUG,19,Alhambra,2,6,130219.34,125265.33,4954.01,44776,39821.94,4954.06,1634.77,1387.08,247.69
AUG,19,Alorton,2,10,1395597.11,1258214.58,137382.53,448854,311723.46,137130.54,45253.13,38396.6,6856.53
AUG,19,Alsey,1,5,189787.59,169842.89,19944.7,59956,40011.3,19944.7,6581.72,5584.49,997.23
AUG,19,Alsip,14,70,5898342.82,5428956.6,469386.22,1903313,1433627.22,469685.78,154996.18,131511.91,23484.27
AUG,19,Altamont,8,36,906174.23,830233.56,75940.67,260114,184113.12,76000.88,25080.27,21280.24,3800.03
AUG,19,Alto Pass,1,4,33728.03,29391.07,4336.96,8343,4006.04,4336.96,1431.16,1214.32,216.84
AUG,19,Alton,32,140,7646133.06,7027570.98,618562.08,2330283,1711720.29,618562.71,204125.45,173197.34,30928.11
AUG,19,Altona,1,5,205521.14,196096.94,9424.2,67332,57907.8,9424.2,3110.01,2638.79,471.22
AUG,19,Amboy,6,28,1255426.09,1143606.96,111819.13,404853,293034.02,111818.98,36900.21,31309.27,5590.94
AUG,19,Andalusia,1,4,104134.35,94294.67,9839.68,30922,21082.35,9839.65,3247.06,2755.08,491.98
AUG,19,Andover,1,5,207618.46,190998.59,16619.87,70803,54183.13,16619.87,5484.47,4653.49,830.98
AUG,19,Anna,10,47,1813909.21,1668377.22,145531.99,502709,357160.3,145548.7,48031.14,40753.7,7277.44
AUG,19,Annawan,4,20,896035.87,837799.27,58236.6,277222,218984.99,58237.01,19218.37,16306.5,2911.87
AUG,19,Antioch,16,77,5606140.96,5144898.13,461242.83,1898561,1437317.9,461243.1,152210.66,129148.43,23062.23
AUG,19,Arcola,3,13,665790.46,617192.68,48597.78,212518,163918.59,48599.41,16037.81,13607.84,2429.97
AUG,19,Arenzville,1,2,29731.49,28752.48,979.01,8582,7602.89,979.11,323.09,274.13,48.96
AUG,19,Argenta,2,10,275623.82,258212.23,17411.59,85454,68042.36,17411.64,5745.76,4875.19,870.57
AUG,19,Arlington,2,10,322786.14,293540.83,29245.31,102720,73474.56,29245.44,9650.91,8188.65,1462.26
AUG,19,Aroma Park,4,16,927509.33,848407.93,79101.4,298526,219424.08,79101.92,26103.64,22148.55,3955.09
AUG,19,Arthur,3,14,353462.48,321162.02,32300.46,116576,84275.62,32300.38,10659.1,9044.09,1615.01
AUG,19,Ashkum,2,6,166794.74,151313.79,15480.95,54397,38916.05,15480.95,5108.66,4334.62,774.04
AUG,19,Ashland,2,9,272640.27,253932.87,18707.4,75399,56691.59,18707.41,6173.42,5238.06,935.36
AUG,19,Ashley,4,20,620408.45,564081.34,56327.11,191647,135320.07,56326.93,18587.91,15771.55,2816.36
AUG,19,Ashmore,3,15,617179.62,566950.67,50228.95,177167,126938.05,50228.95,16575.51,14064.08,2511.43
AUG,19,Ashton,3,15,406312.02,362653.63,43658.39,135399,91740.73,43658.27,14407.26,12224.34,2182.92
AUG,19,Assumption,4,20,378366.36,343271.35,35095.01,120954,85859.66,35094.34,11581.25,9826.5,1754.75
AUG,19,Astoria,1,3,50398.3,44922.16,5476.14,13056,7579.86,5476.14,1807.14,1533.33,273.81
AUG,19,Athens,4,20,656047.67,597840.55,58207.12,206588,148355.91,58232.09,19216.48,16304.89,2911.59
AUG,19,Atkinson,1,5,51324.48,46297.55,5026.93,21116,16089.07,5026.93,1658.93,1407.57,251.36
AUG,19,Atlanta,4,16,328052.96,301058.94,26994.02,98721,71727.16,26993.84,8907.94,7558.25,1349.69
AUG,19,Atwood,2,10,215100.64,199113.07,15987.57,61504,45516.54,15987.46,5275.81,4476.46,799.35
AUG,19,Auburn,11,50,1546943.03,1407433.55,139509.48,496050,356539.84,139510.16,46038.1,39062.61,6975.49
AUG,19,Augusta,3,10,276822.04,252272.46,24549.58,76024,51474.35,24549.65,8101.38,6873.9,1227.48
AUG,19,Aurora,31,148,9970699.68,9160570.3,810129.38,3101989,2291857.26,810131.74,267343.44,226836.87,40506.57
AUG,19,Ava,2,7,132044.11,123063.67,8980.44,34945,25964.44,8980.56,2963.6,2514.56,449.04
AUG,19,Aviston,3,10,217594.37,193494.72,24099.65,66739,42639.35,24099.65,7952.84,6747.86,1204.98
AUG,19,Avon,2,9,215775.38,194254.52,21520.86,71508,49987.14,21520.86,7101.86,6025.82,1076.04
