Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
DEC,19,Abingdon,4,16,509771.17,455772.83,53998.34,153014,99014.78,53999.22,17819.73,15119.77,2699.96
DEC,19,Adams County,12,47,1541919.48,1410639.31,131280.17,489464,358183.73,131280.27,43322.35,36758.35,6564
DEC,19,Addieville,1,5,94840.47,87216.38,7624.09,35296,27671.91,7624.09,2515.96,2134.75,381.21
DEC,19,Addison,22,107,7858214.81,7126399.66,731815.15,2512084,1780268.58,731815.42,241499.36,204908.56,36590.8
DEC,19,Albany,2,7,180245.19,165347.12,14898.07,69614,54716.23,14897.77,4916.24,4171.36,744.88
DEC,19,Albers,1,4,193541.63,181068.23,12473.4,58953,46479.85,12473.15,4116.13,3492.47,623.66
DEC,19,Albion,4,17,217472.84,197469.58,20003.26,55423,35419.5,20003.5,6601.1,5600.93,1000.17
DEC,19,Aledo,6,24,636688.93,591471.04,45217.89,182667,137529.6,45137.4,14895.32,12638.45,2256.87
DEC,19,Alexander County,3,13,391548.43,358594.92,32953.51,122433,89471.51,32961.49,10877.28,9229.22,1648.06
DEC,19,Alexis,2,7,109432.45,97811.06,11621.39,38024,26402.61,11621.39,3835,3253.94,581.06
DEC,19,Algonquin,16,74,2552018.84,2323990.34,228028.5,853099,625070.07,228028.93,75249.45,63847.99,11401.46
DEC,19,Alhambra,2,7,112862.22,95646.73,17215.49,44328,27112.27,17215.73,5681.19,4820.4,860.79
DEC,19,Alorton,2,10,1375077.31,1236654.44,138422.87,453673,315162.51,138510.49,45708.52,38782.99,6925.53
DEC,19,Alpha,1,4,102469.52,92859.62,9609.9,33790,24179.86,9610.14,3171.38,2690.87,480.51
DEC,19,Alsey,1,5,284112.1,272098.3,12013.8,85456,73429.4,12026.6,3968.81,3367.48,601.33
DEC,19,Alsip,15,75,6069325.9,5591176.45,478149.45,1965393,1487325.6,478067.4,157762.08,133858.76,23903.32
DEC,19,Altamont,7,31,766840.6,708287.36,58553.24,213149,154596.47,58552.53,19322.06,16394.48,2927.58
DEC,19,Alto Pass,1,4,14840.75,14842.6,-1.85,4028,4029.85,-1.85,-0.63,-0.54,-0.09
DEC,19,Alton,31,138,7268013.11,6659529.21,608483.9,2204342,1595813.64,608528.36,200814.06,170387.7,30426.36
DEC,19,Altona,1,5,172414.33,156461.55,15952.78,54191,38238.22,15952.78,5264.39,4466.76,797.63
DEC,19,Amboy,6,28,1195374.26,1094680.65,100693.61,349079,248385.5,100693.5,33228.91,28194.2,5034.71
DEC,19,Andalusia,1,4,87260.14,78015.16,9244.98,26004,16759.02,9244.98,3050.82,2588.58,462.24
DEC,19,Andover,1,5,182223.04,161628.39,20594.65,61879,41284.35,20594.65,6796.25,5766.52,1029.73
DEC,19,Anna,11,53,1916918.55,1773409.72,143508.83,554955,411445.44,143509.56,47358.02,40182.54,7175.48
DEC,19,Annawan,4,20,845523.44,774448.7,71074.74,284845,213568.85,71276.15,23521.06,19957.27,3563.79
DEC,19,Antioch,16,77,6112107.54,5599491.17,512616.37,2040411,1527791.95,512619.05,169164.28,143533.33,25630.95
DEC,19,Arcola,3,13,514561.22,480305.47,34255.75,163385,129130.05,34254.95,11304.13,9591.38,1712.75
DEC,19,Arenzville,1,2,44827.06,40564.51,4262.55,10927,6664.55,4262.45,1406.62,1193.5,213.12
DEC,19,Argenta,1,5,260736.66,243460.73,17275.93,88492,71216.38,17275.62,5700.92,4837.14,863.78
DEC,19,Arlington,2,10,340439.78,306963.66,33476.12,110975,77498.88,33476.12,11047.11,9373.31,1673.8
DEC,19,Aroma Park,4,16,801865.5,729838.93,72026.57,266180,194154.48,72025.52,23768.37,20167.1,3601.27
DEC,19,Arthur,3,15,327433.31,304611.7,22821.61,115113,92290.82,22822.18,7531.22,6390.12,1141.1
DEC,19,Ashkum,2,8,200463.21,178531.21,21932,63374,41442.64,21931.36,7237.27,6140.72,1096.55
DEC,19,Ashland,2,9,267467.25,245250.49,22216.76,80781,58564.24,22216.76,7331.46,6220.63,1110.83
DEC,19,Ashley,4,20,690417.81,624263.14,66154.67,205578,139423.28,66154.72,21831.04,18523.3,3307.74
DEC,19,Ashmore,3,15,611097.67,565552.11,45545.56,183069,137531.46,45537.54,15027.49,12750.6,2276.89
DEC,19,Ashton,3,15,438121.8,404461,33660.8,130836,97175.3,33660.7,11108.04,9425.01,1683.03
DEC,19,Assumption,3,15,533477.56,501503.95,31973.61,142749,110773.53,31975.47,10551.9,8953.13,1598.77
DEC,19,Astoria,1,3,53750.3,49480.45,4269.85,15040,10770.15,4269.85,1409.03,1195.54,213.49
