Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
FEB,19,Abingdon,4,16,476939.04,440276.17,36662.87,136406,99742.76,36663.24,10999.07,9165.89,1833.18
FEB,19,Adams County,12,44,1519783.06,1408388.86,111394.2,455639,344244.32,111394.68,33418.52,27848.79,5569.73
FEB,19,Addieville,1,4,88240.51,84407.7,3832.81,30917,27084.26,3832.74,1149.87,958.22,191.65
FEB,19,Addison,20,95,7117745.98,6541563.83,576182.15,2241360,1665179.13,576180.87,172854.96,144045.83,28809.13
FEB,19,Albany,2,8,102655.43,93479.91,9175.52,36319,27143.19,9175.81,2752.79,2293.99,458.8
FEB,19,Albers,1,4,108943.6,99060.93,9882.67,38746,28863.33,9882.67,2964.82,2470.69,494.13
FEB,19,Albion,4,17,259651.36,239236.5,20414.86,63288,42873.33,20414.67,6124.5,5103.75,1020.75
FEB,19,Aledo,6,24,574595.54,535520.95,39074.59,164441,125366.56,39074.44,11722.43,9768.69,1953.74
FEB,19,Alexander County,3,12,259701.1,237861.27,21839.83,83070,61230.25,21839.75,6552,5460,1092
FEB,19,Alexis,1,3,61552.06,54818.02,6734.04,19497,12762.99,6734.01,2020.27,1683.56,336.71
FEB,19,Algonquin,17,77,2232928.63,2026685.32,206243.31,733409,527165.18,206243.82,61873.97,51561.67,10312.3
FEB,19,Alhambra,2,5,79631.88,71036.83,8595.05,28225,19630,8595,2578.54,2148.79,429.75
FEB,19,Alorton,2,10,1347920.21,1214943.38,132976.83,428149,295141.68,133007.32,39902.38,33251.98,6650.4
FEB,19,Alsey,2,9,202068.53,185750.88,16317.65,64599,48280.6,16318.4,4895.61,4079.68,815.93
FEB,19,Alsip,14,70,5515620.35,5065142.41,450477.94,1700338,1249828.02,450509.98,135153.87,112628.27,22525.6
FEB,19,Altamont,8,36,924574.74,852563.05,72011.69,265518,193506.08,72011.92,21603.85,18003.23,3600.62
FEB,19,Alto Pass,1,4,14175.43,12342.07,1833.36,3929,2095.92,1833.08,549.95,458.29,91.66
FEB,19,Alton,31,138,6651660.46,6095129.79,556530.67,2086687,1530157.5,556529.5,166959.89,139133.31,27826.58
FEB,19,Altona,1,5,101762.2,94244.84,7517.36,34920,27402.64,7517.36,2255.26,1879.38,375.88
FEB,19,Amboy,6,28,906482.2,833554.04,72928.16,286273,213343.89,72929.11,21879.01,18232.53,3646.48
FEB,19,Andalusia,1,4,87719.52,82098.25,5621.27,23941,18319.82,5621.18,1686.38,1405.32,281.06
FEB,19,Andover,1,5,178455.09,158725.89,19729.2,63301,43571.8,19729.2,5918.82,4932.35,986.47
FEB,19,Anna,10,47,1351390.1,1232322.16,119067.94,402547,283478.9,119068.1,35720.86,29767.4,5953.46
FEB,19,Annawan,4,20,830533.15,763059.24,67473.91,263230,196152.52,67077.48,20123.43,16769.53,3353.9
FEB,19,Antioch,15,73,4885533.88,4487441,398092.88,1619643,1221550.29,398092.71,119428.48,99523.76,19904.72
FEB,19,Arcola,3,13,579127.67,538355.35,40772.32,154197,113424.64,40772.36,12231.76,10193.13,2038.63
FEB,19,Arenzville,1,2,25227.46,22573.42,2654.04,9059,6404.96,2654.04,796.25,663.54,132.71
FEB,19,Argenta,2,10,247178.26,225735.08,21443.18,75531,54087.82,21443.18,6433.05,5360.89,1072.16
FEB,19,Arlington,2,10,265524.48,241612.85,23911.63,84369,60436.12,23932.88,7179.93,5983.28,1196.65
FEB,19,Aroma Park,4,15,724195.48,664284.53,59910.95,232263,172343.1,59919.9,17976.08,14980.07,2996.01
FEB,19,Arthur,3,14,476904.96,437208.53,39696.43,154615,114918.72,39696.28,11909.07,9924.23,1984.84
FEB,19,Ashkum,2,6,158268.12,145049.65,13218.47,56141,42922.69,13218.31,3965.58,3304.66,660.92
FEB,19,Ashland,2,9,182941.04,170258.56,12682.48,55489,42806.54,12682.46,3804.86,3170.71,634.15
FEB,19,Ashley,4,20,655146.01,612153.8,42992.21,198969,155976.7,42992.3,12897.85,10748.2,2149.65
FEB,19,Ashmore,4,20,578761.4,543167.62,35593.78,162291,126697.12,35593.88,10678.27,8898.55,1779.72
FEB,19,Ashton,3,15,460567.98,422472.1,38095.88,138977,100881.3,38095.7,11428.78,9523.98,1904.8
FEB,19,Assumption,4,19,296822.36,272579.98,24242.38,89073,64830.38,24242.62,7272.91,6060.76,1212.15
FEB,19,Astoria,1,3,63709.58,56939.07,6770.51,19524,12753.49,6770.51,2031.17,1692.64,338.53
FEB,19,Athens,4,20,746325.03,690245.75,56079.28,230561,174486.69,56074.31,16822.48,14018.73,2803.75
FEB,19,Atkinson,1,5,56134.34,50350.53,5783.81,19726,13942.19,5783.81,1735.23,1446.03,289.2
FEB,19,Atlanta,4,16,343976.48,323005.66,20970.82,97709,76738.31,20970.69,6291.27,5242.74,1048.53
FEB,19,Atwood,2,10,289615.77,264008.5,25607.27,79158,53550.53,25607.47,7682.32,6401.93,1280.39
FEB,19,Auburn,8,33,1342832.3,1238541.95,104290.35,407214,302923.77,104290.23,31287.46,26072.89,5214.57
FEB,19,Augusta,3,10,208080.72,195953.1,12127.62,56096,43968.2,12127.8,3638.42,3032.03,606.39
FEB,19,Aurora,29,137,9416767.18,8655137.77,761629.41,2910043,2148346,761697,228510.26,190425.29,38084.97
FEB,19,Ava,2,7,137398.18,125532.94,11865.24,33898,22032.49,11865.51,3559.74,2966.45,593.29
FEB,19,Aviston,3,8,163459.54,149329.97,14129.57,50551,36421.44,14129.56,4238.92,3532.43,706.49
FEB,19,Avon,2,9,255415.65,234250.1,21165.55,75988,54821.76,21166.24,6349.99,5291.67,1058.32
FEB,19,Baldwin,2,6,82334.9,72582.14,9752.76,26664,16910.88,9753.12,2926,2438.35,487.65
FEB,19,Banner,2,8,202698.13,188208.2,14489.93,65123,50633.07,14489.93,4347.1,3622.58,724.52
FEB,19,Barry,4,19,644025.27,590022.96,54002.31,208069,154030.55,54038.45,16211.69,13509.73,2701.96
FEB,19,Bartelso,4,11,175721.93,159024.2,16697.73,60567,43869.54,16697.46,5009.35,4174.47,834.88
FEB,19,Bartlett,13,59,4288090.3,3901307.53,386782.77,1338764,951982.11,386781.89,116035.27,96696.06,19339.21
FEB,19,Bartonville,18,87,2978991.08,2747355.69,231635.39,962689,731053.41,231635.59,69491.37,57909.46,11581.91
FEB,19,Basco,1,3,116056.79,108930.81,7125.98,42274,35148.02,7125.98,2137.81,1781.5,356.31
FEB,19,Batavia,6,30,1338643.69,1227191.34,111452.35,410689,299180.54,111508.46,33452.86,27877.4,5575.46
FEB,19,Batchtown,1,5,96681.35,87921.22,8760.13,26570,17809.87,8760.13,2628.03,2190.03,438
FEB,19,Bath,3,10,167611.15,155137.11,12474.04,46689,34214.91,12474.09,3742.28,3118.57,623.71
FEB,19,Bay View Gardens,1,5,93155.39,88618.63,4536.76,32233,27696.24,4536.76,1361.05,1134.21,226.84
FEB,19,Beach Park,6,29,1745312.36,1601906.93,143405.43,615348,471914.92,143433.08,43030.29,35858.59,7171.7
FEB,19,Beardstown,11,51,2109401.07,1947921.28,161479.79,628201,466720.77,161480.23,48444.51,40370.44,8074.07
FEB,19,Beaverville,2,5,0,0,0,0,0,0,0,0,0
FEB,19,Beckemeyer,2,10,573546.29,529937.39,43608.9,188529,144920.53,43608.47,13082.58,10902.16,2180.42
FEB,19,Bedford Park,6,28,3188130.01,2924778.29,263351.72,1018245,754818.02,263426.98,79028.3,65856.94,13171.36
FEB,19,Beecher,9,40,1294786.47,1176079.23,118707.24,424440,305732.62,118707.38,35612.52,29677.11,5935.41
FEB,19,Belgium,2,9,597870.83,556223.86,41646.97,195951,154303.03,41647.97,12494.48,10412.07,2082.41
FEB,19,Belleville,30,138,6114587.77,5604842.7,509745.07,1988959,1479214.6,509744.4,152924.4,127437.06,25487.34
FEB,19,Bellevue,3,15,641005.85,591409.08,49596.77,206006,156409.18,49596.82,14879.13,12399.28,2479.85
FEB,19,Bellwood,2,8,248124.67,222313.92,25810.75,89699,63888.25,25810.75,7743.31,6452.77,1290.54
FEB,19,Belvidere,24,117,6805510.3,6251610.46,553899.84,2168903,1614720.59,554182.41,166255.8,138546.5,27709.3
FEB,19,Bement,4,18,452894.05,421159.15,31734.9,155635,123899.48,31735.52,9520.77,7933.98,1586.79
FEB,19,Benld,4,19,352544.2,324630.67,27913.53,108487,80573.17,27913.83,8374.43,6978.71,1395.72
FEB,19,Bensenville,8,37,2475581.94,2269424.46,206157.48,772474,566316.94,206157.06,61847.3,51539.43,10307.87
FEB,19,Benson,1,4,199977.62,186375,13602.62,53407,39804.33,13602.67,4080.83,3400.7,680.13
FEB,19,Benton,13,61,1983624.81,1849207.45,134417.36,583416,448981.12,134434.88,40330.95,33609.13,6721.82
FEB,19,Berkeley,6,30,2147314.64,1959637.56,187677.08,669712,482034.66,187677.34,56303.47,46919.57,9383.9
FEB,19,Berwyn,53,242,13476570.58,12368603.64,1107966.94,4480662,3372687.35,1107974.65,332394.49,276995.48,55399.01
FEB,19,Bethalto,5,24,897754.02,826721.22,71032.8,278362,207329.97,71032.03,21309.52,17757.94,3551.58
FEB,19,Bethany,1,5,78273.61,68953.76,9319.85,30706,21386.07,9319.93,2796.05,2330.05,466
FEB,19,Big Rock,1,4,154950.49,139847.88,15102.61,50901,35798.39,15102.61,4530.85,3775.71,755.14
FEB,19,Bishop Hill,1,3,61447.73,57920.51,3527.22,17479,13951.95,3527.05,1058.12,881.77,176.35
FEB,19,Blandinsville,3,9,217863.5,203819.85,14043.65,64226,50182.55,14043.45,4213.11,3510.93,702.18
FEB,19,Bloomingdale,6,24,1057450.73,970452.11,86998.62,355225,268226.55,86998.45,26099.75,21749.78,4349.97
FEB,19,Bloomington,54,252,16125922.02,14821172.28,1304749.74,5094016,3789161.85,1304854.15,391458.61,326215.61,65243
FEB,19,Blue Island,29,132,6873351.52,6302403.3,570948.22,2375151,1804214.85,570936.15,171282.15,142735.2,28546.95
FEB,19,Blue Mound,2,10,324579.97,298288.59,26291.38,108425,82133.22,26291.78,7887.59,6572.99,1314.6
FEB,19,Bluffs,1,5,306345.88,278066.07,28279.81,96926,68646.19,28279.81,8483.96,7069.97,1413.99
FEB,19,Bond County,1,3,42864.73,38101.34,4763.39,14724,9960.61,4763.39,1429.04,1190.87,238.17
FEB,19,Boone County,6,28,1252754.58,1133132.57,119622.01,407995,288373.19,119621.81,35886.93,29905.77,5981.16
FEB,19,Bourbonnais,4,18,743004.85,683045.38,59959.47,289420,229461.7,59958.3,17987.66,14989.72,2997.94
FEB,19,Bowen,1,3,44919.37,39835.96,5083.41,12080,6996.88,5083.12,1525,1270.83,254.17
FEB,19,Braceville,1,5,133894.15,123583.07,10311.08,37006,26694.57,10311.43,3093.44,2577.87,515.57
FEB,19,Bradford,2,7,146689.2,137225.06,9464.14,42442,32977.86,9464.14,2839.34,2366.12,473.22
FEB,19,Bradley,19,88,5618181.86,5179916.68,438265.18,1811819,1373553.59,438265.41,131480.28,109566.93,21913.35
FEB,19,Braidwood,6,29,774187.33,714425.35,59761.98,239825,180063.07,59761.93,17928.79,14940.65,2988.14
FEB,19,Breese,10,42,1097100.78,1005827.17,91273.61,353029,261754.93,91274.07,27382.5,22818.75,4563.75
FEB,19,Bridgeport,6,22,519502.26,479461.97,40040.29,145845,105804.89,40040.11,12012.31,10010.27,2002.04
FEB,19,Bridgeview,27,132,8592324.08,7890157.51,702166.57,2733974,2031837.15,702136.85,210641.92,175534.97,35106.95
FEB,19,Brighton,1,4,124602.19,112253.25,12348.94,37746,25397.06,12348.94,3704.72,3087.27,617.45
FEB,19,Brimfield,3,15,304200.9,282620.11,21580.79,108136,86554.77,21581.23,6474.53,5395.45,1079.08
FEB,19,Broadlands,1,5,131719.58,118781.53,12938.05,39334,26395,12939,3881.82,3234.85,646.97
FEB,19,Broadview,5,24,1549182.1,1423507.39,125674.71,551518,425843.41,125674.59,37702.71,31418.92,6283.79
FEB,19,Brocton,1,5,115737.68,109426.38,6311.3,28927,22615.7,6311.3,1893.39,1577.83,315.56
FEB,19,Brookfield,13,62,2883806.04,2645828.82,237977.22,954144,716165,237979,71394.24,59495.22,11899.02
FEB,19,Brookport,1,3,108065.55,99326.51,8739.04,28617,19878.1,8738.9,2621.69,2184.74,436.95
FEB,19,Brown County,1,2,4207.32,3928.92,278.4,1391,1112.73,278.27,83.46,69.55,13.91
FEB,19,Brussels,2,6,54334.35,48110.56,6223.79,18348,12124.24,6223.76,1867.15,1555.96,311.19
FEB,19,Bryant,1,3,200333.52,184027.29,16306.23,57394,41087.77,16306.23,4891.91,4076.59,815.32
FEB,19,Buckley,2,10,316315.94,289672.1,26643.84,102752,76108.55,26643.45,7993.14,6660.95,1332.19
FEB,19,Buckner,2,9,236028.42,219945.37,16083.05,78697,62614,16083,4824.93,4020.78,804.15
FEB,19,Buda,1,3,123853.24,117646.75,6206.49,38304,32097.51,6206.49,1861.98,1551.65,310.33
FEB,19,Buffalo,1,3,36339.29,30515.43,5823.86,13179,7355.14,5823.86,1747.22,1456.02,291.2
FEB,19,Buffalo Grove,8,36,2001520.33,1840638.45,160881.88,676543,515660.82,160882.18,48264.79,40220.66,8044.13
FEB,19,Bull Valley,1,4,1591.1,1400.49,190.61,844,653.39,190.61,57.2,47.66,9.54
FEB,19,Bulpitt,2,10,356375.51,324706.39,31669.12,117441,85770.28,31670.72,9501.37,7917.81,1583.56
FEB,19,Buncombe,2,8,193666.39,178548.31,15118.08,54814,39695.92,15118.08,4535.45,3779.55,755.9
FEB,19,Bunker Hill,4,20,639334.48,592315.52,47018.96,197833,150814.43,47018.57,14105.71,11754.76,2350.95
FEB,19,Burbank,24,117,8743687.06,8057529.03,686158.03,2875649,2189563.96,686085.04,205826.41,171522.02,34304.39
FEB,19,Bureau,1,5,110153.08,102274.17,7878.91,36060,28181.34,7878.66,2363.64,1969.71,393.93
FEB,19,Bureau County,1,5,38345.52,33872.11,4473.41,14113,9639.67,4473.33,1342.05,1118.38,223.67
FEB,19,Burlington,2,10,135411.67,118677.95,16733.72,46850,30116.28,16733.72,5020.18,4183.49,836.69
FEB,19,Burnham,3,15,975009.65,905807.46,69202.19,347851,278648.01,69202.99,20761.02,17300.85,3460.17
FEB,19,Bushnell,5,20,516405.79,471031.41,45374.38,167523,122148.49,45374.51,13612.5,11343.75,2268.75
FEB,19,Byron,7,30,1276648.88,1161873.27,114775.61,427102,312326.58,114775.42,34432.94,28694.12,5738.82
FEB,19,Cabery,1,4,85105.88,75345.2,9760.68,25338,15577.32,9760.68,2928.19,2440.16,488.03
FEB,19,Cahokia,15,67,1773517.92,1630096.32,143421.6,566456,422964.8,143491.2,43047.83,35873.21,7174.62
FEB,19,Cairo,4,18,752446.65,688018.64,64428.01,264004,199576.09,64427.91,19328.55,16107.11,3221.44
FEB,19,Calhoun County,4,17,322484.04,301196.25,21287.79,91614,70316.6,21297.4,6389.35,5324.46,1064.89
FEB,19,Calumet City,18,84,5756187.7,5287905.29,468282.41,1956351,1488068.04,468282.96,140485.53,117071.33,23414.2
FEB,19,Calumet Park,10,46,4026938.18,3697726.46,329211.72,1391329,1062079.22,329249.78,98775.17,82312.68,16462.49
FEB,19,Cambridge,3,11,214610.72,199477.75,15132.97,74084,58951.18,15132.82,4539.97,3783.31,756.66
FEB,19,Camp Point,2,5,116949.36,107312.3,9637.06,33102,23464.94,9637.06,2891.17,2409.31,481.86
FEB,19,Campbell Hill,2,8,280801.73,256355.73,24446,75693,51247,24446,7333.82,6111.52,1222.3
FEB,19,Campus,1,3,67458.37,61884.55,5573.82,24043,18469.18,5573.82,1672.16,1393.47,278.69
FEB,19,Canton,11,50,2965260.53,2767002.62,198257.91,851309,653050.29,198258.71,59477.89,49564.91,9912.98
FEB,19,Cantrall,1,3,97140.45,90343.02,6797.43,22486,15688.57,6797.43,2039.27,1699.39,339.88
FEB,19,Capron,2,10,286563.44,265606.7,20956.74,90387,69430.26,20956.74,6287.15,5239.29,1047.86
FEB,19,Carbon Cliff,2,10,279617.47,253087.4,26530.07,83844,57313.93,26530.07,7959.11,6632.6,1326.51
FEB,19,Carbon Hill,2,7,277033.09,255734.48,21298.61,80620,59321.23,21298.77,6389.73,5324.78,1064.95
FEB,19,Carbondale,23,104,4922084.69,4538569.43,383515.26,1567487,1183842.03,383644.97,115094.39,95912.01,19182.38
FEB,19,Carlinville,9,38,1797984.53,1656437.89,141546.64,498222,356675.26,141546.74,42464.32,35386.94,7077.38
FEB,19,Carlyle,10,42,1057590.4,975888.68,81701.72,326275,244573.32,81701.68,24510.71,20425.58,4085.13
FEB,19,Carmi,10,42,1665705.53,1543921.11,121784.42,432414,310652.37,121761.63,36528.77,30440.66,6088.11
FEB,19,Carol Stream,16,80,5797474.74,5329169.9,468304.84,1798610,1330306.25,468303.75,140491.79,117076.5,23415.29
FEB,19,Carpentersville,24,114,6000462.15,5506908.83,493553.32,2060489,1566935.53,493553.47,148066.87,123389.09,24677.78
FEB,19,Carrier Mills,2,9,385606.29,359727.29,25879,104988,79108.72,25879.28,7763.83,6469.86,1293.97
FEB,19,Carroll County,2,8,134329.6,123383.08,10946.52,41824,30877.3,10946.7,3284.06,2736.73,547.33
FEB,19,Carrollton,3,15,739065.27,680012.99,59052.28,236372,177269.69,59102.31,17730.84,14775.7,2955.14
FEB,19,Carterville,1,5,370403.03,343537.86,26865.17,112467,85580.83,26886.17,8065.88,6721.57,1344.31
FEB,19,Carthage,3,13,279892.84,257516.01,22376.83,87671,65288.87,22382.13,6714.79,5595.66,1119.13
FEB,19,Cary,9,43,1656001.83,1511109.21,144892.62,585980,441086.72,144893.28,43468.21,36223.52,7244.69
FEB,19,Casey,4,16,800426.26,732725.29,67700.97,237039,169336.95,67702.05,20310.75,16925.63,3385.12
FEB,19,Caseyville,17,75,3737747.96,3422488.92,315259.04,1116485,801204.18,315280.82,94584.79,78820.66,15764.13
FEB,19,Cass County,1,5,123420.58,112323.9,11096.68,37852,26755.47,11096.53,3329,2774.17,554.83
FEB,19,Catlin,1,5,180478.83,169058.23,11420.6,56570,45149.2,11420.8,3426.28,2855.23,571.05
FEB,19,Cedar Point,2,8,187112.39,173138.86,13973.53,59171,45197.47,13973.53,4192.08,3493.4,698.68
FEB,19,Central City,4,20,1547585.78,1436044.43,111541.35,445624,334082.74,111541.26,33462.49,27885.42,5577.07
FEB,19,Centralia,20,97,5025029.2,4624487.35,400541.85,1400870,1000321.92,400548.08,120165.3,100137.81,20027.49
FEB,19,Centreville,2,9,589561.22,542113.46,47447.76,206720,159247.36,47472.64,14241.8,11868.17,2373.63
FEB,19,Cerro Gordo,1,4,93096.8,84557.62,8539.18,27898,19359.17,8538.83,2561.69,2134.74,426.95
FEB,19,Champaign,57,264,17356773.39,15944430.13,1412343.26,6018736,4606449.59,1412286.41,423687.94,353073.36,70614.58
FEB,19,Champaign County,6,26,1546635.64,1414911.49,131724.15,526270,394667.63,131602.37,39481.05,32900.87,6580.18
FEB,19,Chandlerville,3,10,148987.17,134501.68,14485.49,53837,39351.65,14485.35,4345.75,3621.47,724.28
FEB,19,Channahon,8,35,2070827.26,1883108.07,187719.19,638668,450948.97,187719.03,56316.19,46930.18,9386.01
FEB,19,Chapin,1,5,129594.08,123638.35,5955.73,41369,35413.27,5955.73,1786.73,1488.94,297.79
FEB,19,Charleston,19,82,3104952.02,2861000.06,243951.96,931734,687780.65,243953.35,73186.41,60988.69,12197.72
FEB,19,Chatham,9,38,1917204.99,1767419.51,149785.48,576033,426246.76,149786.24,44936.14,37446.79,7489.35
FEB,19,Chatsworth,2,8,152927.9,134276.04,18651.86,53475,34823.14,18651.86,5595.64,4663.03,932.61
FEB,19,Chebanse,4,17,233463.44,215908.97,17554.47,80233,62678.56,17554.44,5266.39,4388.65,877.74
