Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
FEB,20,Abingdon,4,17,583690.16,539844.32,43845.84,165809,121963.27,43845.73,14469.07,12276.77,2192.3
FEB,20,Adams County,13,53,1548477.29,1413560.17,134917.12,480258,345001.31,135256.69,44634.77,37871.92,6762.85
FEB,20,Addieville,1,5,95134.09,84910.4,10223.69,36211,25987.31,10223.69,3373.78,2862.6,511.18
FEB,20,Addison,22,117,8405804.6,7661924.07,743880.53,2785511,2041671.28,743839.72,245466.97,208275,37191.97
FEB,20,Albany,2,7,217047.26,199520.34,17526.92,76890,59363.19,17526.81,5783.9,4907.56,876.34
FEB,20,Albers,1,4,159239.61,144419.14,14820.47,53502,38681.18,14820.82,4890.88,4149.84,741.04
FEB,20,Albion,4,18,225121.99,207701.86,17420.13,53520,36115.36,17404.64,5743.55,4873.32,870.23
FEB,20,Aledo,6,25,543664.83,487588.94,56075.89,170527,114450.48,56076.52,18505.39,15701.55,2803.84
FEB,20,Alexander County,3,13,389201.01,358543.66,30657.35,129296,98638.14,30657.86,10117,8584.13,1532.87
FEB,20,Alexis,2,7,120899.9,110350.86,10549.04,40062,29512.75,10549.25,3481.33,2953.86,527.47
FEB,20,Algonquin,16,75,2474031,2240643.28,233387.72,832497,599068.24,233428.76,77031.36,65359.93,11671.43
FEB,20,Alhambra,2,7,99204.32,89728.09,9476.23,37965,28488.77,9476.23,3127.14,2653.33,473.81
FEB,20,Alorton,3,17,1646206.5,1492811.45,153395.05,571787,418288.48,153498.52,50654.56,42979.63,7674.93
FEB,20,Alpha,1,4,105647.89,99149.6,6498.29,32636,26137.71,6498.29,2144.43,1819.52,324.91
FEB,20,Alsey,1,5,219277.16,201383.49,17893.67,68295,50401.33,17893.67,5904.89,5010.21,894.68
FEB,20,Alsip,14,76,6181182.43,5689943.21,491239.22,2021019,1529670.49,491348.51,162144.99,137577.58,24567.41
FEB,20,Altamont,7,31,801553.49,724862.71,76690.78,232984,156293.48,76690.52,25307.89,21473.37,3834.52
FEB,20,Alto Pass,1,4,19536.28,16923.42,2612.86,5806,3193.14,2612.86,862.22,731.58,130.64
FEB,20,Alton,33,153,8185458.73,7492613.89,692844.84,2511523,1818699.68,692823.32,228631.24,193990.12,34641.12
FEB,20,Altona,1,5,125938.84,116519.23,9419.61,38417,28994.59,9422.41,3109.43,2638.3,471.13
