Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
JAN,18,Abingdon,4,15,472724.42,439549.56,33174.86,123033,89858.15,33174.85,9952.52,8293.77,1658.75
JAN,18,Adams County,11,39,1423760.02,1300008.53,123751.49,410459,286712.63,123746.37,37124.06,30936.72,6187.34
JAN,18,Addieville,1,4,64026.95,58564.75,5462.2,23058,17595.8,5462.2,1638.69,1365.58,273.11
JAN,18,Addison,18,87,6688401.47,6170164.98,518236.49,2026885,1508648.02,518236.98,155471.87,129559.91,25911.96
JAN,18,Albany,2,8,117492.69,105552.19,11940.5,42355,30414.53,11940.47,3582.24,2985.19,597.05
JAN,18,Albers,1,3,96947.28,88771.21,8176.07,33821,25644.93,8176.07,2452.81,2044.01,408.8
JAN,18,Albion,3,10,155519.91,141375.89,14144.02,36777,22632.98,14144.02,4243.31,3536.09,707.22
JAN,18,Aledo,4,14,381153.46,346588.32,34565.14,114385,79819.8,34565.2,10369.66,8641.39,1728.27
JAN,18,Alexander County,3,12,287173.81,262320.43,24853.38,89705,64851.76,24853.24,7455.99,6213.33,1242.66
JAN,18,Alexis,1,4,81406.1,72817.48,8588.62,25292,16703.38,8588.62,2576.6,2147.17,429.43
JAN,18,Algonquin,13,59,2194611.84,2036450.58,158161.26,669996,511834.8,158161.2,47448.81,39540.7,7908.11
JAN,18,Alhambra,2,5,67851.09,62171.89,5679.2,24411,18731.8,5679.2,1703.77,1419.81,283.96
JAN,18,Alorton,1,5,1121890.24,1033413.58,88476.66,327644,239017.59,88626.41,26587.95,22156.63,4431.32
JAN,18,Alsey,1,4,53023.13,48496.4,4526.73,16997,12470.27,4526.73,1358.06,1131.72,226.34
JAN,18,Alsip,11,55,4846052.31,4476885.24,369167.07,1525648,1156406.24,369241.76,110772.96,92310.82,18462.14
JAN,18,Altamont,6,26,576211.05,541349.87,34861.18,157697,122836.09,34860.91,10458.4,8715.34,1743.06
JAN,18,Alton,30,129,6069930.48,5563983.29,505947.19,1784323,1278358.29,505964.71,151790.53,126492.13,25298.4
JAN,18,Altona,1,5,116612.34,112308.8,4303.54,35465,31161.46,4303.54,1291.15,1075.96,215.19
JAN,18,Amboy,6,28,953551.08,891782.52,61768.56,274357,212588.37,61768.63,18530.78,15442.32,3088.46
JAN,18,Andalusia,1,3,52759.16,47948.41,4810.75,15202,10391.25,4810.75,1443.28,1202.73,240.55
