Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
JUL,18,Abingdon,3,12,505980.51,468710.81,37269.7,133752,96482.48,37269.52,11181.07,9317.56,1863.51
JUL,18,Adams County,12,41,1450274,1344388.47,105885.53,433988,327762.67,106225.33,31867.77,26556.46,5311.31
JUL,18,Addieville,1,4,82304.68,73843.34,8461.34,29582,21120.66,8461.34,2538.44,2115.37,423.07
JUL,18,Addison,19,92,6536352.95,5944034.6,592318.35,2183529,1591202.16,592326.84,177699.06,148082.55,29616.51
JUL,18,Albany,2,8,190216.61,171432.42,18784.19,65856,47071.62,18784.38,5635.36,4696.13,939.23
JUL,18,Albers,1,3,104720.8,93480.48,11240.32,36327,25086.68,11240.32,3372.12,2810.1,562.02
JUL,18,Albion,3,11,97269.88,87623.1,9646.78,23616,13968.88,9647.12,2894.23,2411.87,482.36
JUL,18,Aledo,6,23,510812.35,468511.78,42300.57,156329,114027.92,42301.08,12690.43,10575.38,2115.05
JUL,18,Alexander County,2,7,227981.49,203676.98,24304.51,72688,48383.49,24304.51,7291.43,6076.19,1215.24
JUL,18,Alexis,2,6,108483.81,95111.88,13371.93,35946,22574.16,13371.84,4011.61,3343.01,668.6
JUL,18,Algonquin,14,63,2004336.46,1836170.67,168165.79,617099,448933.04,168165.96,50450.28,42041.92,8408.36
JUL,18,Alhambra,2,5,79559.42,70248.06,9311.36,28970,19658.82,9311.18,2793.33,2327.78,465.55
JUL,18,Alorton,2,10,1393592.63,1277856.45,115736.18,438062,322356.29,115705.71,34711.82,28926.52,5785.3
JUL,18,Alsey,2,9,260634.53,242317.07,18317.46,86018,67700.54,18317.46,5495.39,4579.5,915.89
JUL,18,Alsip,13,65,4715412.03,4313396.36,402015.67,1493571,1091416.21,402154.79,120647.22,100539.37,20107.85
JUL,18,Altamont,7,31,655410.13,604517.95,50892.18,188381,137488.81,50892.19,15267.91,12723.25,2544.66
JUL,18,Alton,33,139,6694403.66,6140533.93,553869.73,1965878,1412006.95,553871.05,166162.41,138468.71,27693.7
JUL,18,Altona,1,5,152500.19,142757.58,9742.61,45347,35604.67,9742.33,2922.73,2435.61,487.12
