Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
JUN,19,Abingdon,4,16,506547.91,473180.35,33367.56,151667,118298.68,33368.32,10010.55,8342.14,1668.41
JUN,19,Adams County,12,46,1514412.19,1374564.89,139847.3,472008,332245.65,139762.35,41929.03,34940.88,6988.15
JUN,19,Addieville,1,4,64271.89,57111.95,7159.94,25653,18493,7160,2148.11,1790.09,358.02
JUN,19,Addison,22,105,7068207.04,6418478.44,649728.6,2317813,1668062.47,649750.53,194926.61,162438.87,32487.74
JUN,19,Albany,2,8,139164.44,127970.92,11193.52,46197,35003.34,11193.66,3358.15,2798.46,559.69
JUN,19,Albers,1,4,103467.08,94728.03,8739.05,34689,25949.9,8739.1,2621.72,2184.76,436.96
JUN,19,Albion,4,17,187700.44,173538.28,14162.16,45557,31394.9,14162.1,4248.72,3540.59,708.13
JUN,19,Aledo,6,24,581846.64,530546.2,51300.44,186305,135003.63,51301.37,15390.65,12825.54,2565.11
JUN,19,Alexander County,3,13,315589.42,287595.13,27994.29,97891,69897.66,27993.34,8398.11,6998.43,1399.68
JUN,19,Alexis,1,3,62496.45,55877.01,6619.44,21338,14718.56,6619.44,1985.85,1654.88,330.97
JUN,19,Algonquin,16,73,2470218.76,2247924.86,222293.9,813105,590811.24,222293.76,66688.83,55574.05,11114.78
JUN,19,Alhambra,2,6,177310.25,158991.57,18318.68,63262,44943.34,18318.66,5495.64,4579.7,915.94
JUN,19,Alorton,2,10,1328774.42,1217394.82,111379.6,428850,317618.39,111231.61,33369.54,27807.95,5561.59
JUN,19,Alsey,1,5,228911.67,213110.88,15800.79,73782,57964.66,15817.34,4745.24,3954.37,790.87
JUN,19,Alsip,14,70,5485315.78,5017601.08,467714.7,1776762,1308990.33,467771.67,140332.12,116943.45,23388.67
JUN,19,Altamont,8,36,1018966.98,944514.3,74452.68,282601,208148.93,74452.07,22335.83,18613.2,3722.63
JUN,19,Alto Pass,1,4,36349.12,33866.56,2482.56,7822,5339.53,2482.47,744.82,620.68,124.14
JUN,19,Alton,32,138,7388542.33,6788358.55,600183.78,2251073,1650878.32,600194.68,180059.72,150049.85,30009.87
