Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
MAR,19,Abingdon,4,16,657278.12,601386.68,55891.44,181328,125437.03,55890.97,16767.41,13972.84,2794.57
MAR,19,Adams County,12,45,1841773.9,1665725.48,176048.42,592121,416072.89,176048.11,52814.83,44012.37,8802.46
MAR,19,Addieville,1,4,86645.13,78027.74,8617.39,32761,24143.61,8617.39,2585.25,2154.37,430.88
MAR,19,Addison,20,95,8271225.24,7540791.77,730433.47,2648721,1917749.27,730971.73,219292.69,182743.94,36548.75
MAR,19,Albany,2,8,206111.93,189366.64,16745.29,64649,47904.07,16744.93,5023.61,4186.35,837.26
MAR,19,Albers,1,4,140712.87,129820.63,10892.24,49646,38753.76,10892.24,3267.7,2723.09,544.61
MAR,19,Albion,4,17,302515.48,274930.98,27584.5,75229,47644.44,27584.56,8275.46,6896.22,1379.24
MAR,19,Aledo,6,24,657731.32,591557.41,66173.91,202910,136735.4,66174.6,19852.62,16543.87,3308.75
MAR,19,Alexander County,3,13,373562.55,342771.35,30791.2,106342,75550.48,30791.52,9237.49,7697.91,1539.58
MAR,19,Alexis,1,3,91817.62,80940.59,10877.03,30815,19937.97,10877.03,3263.1,2719.25,543.85
MAR,19,Algonquin,17,77,2964984.66,2676843.13,288141.53,969091,680945.39,288145.61,86444.26,72036.94,14407.32
MAR,19,Alhambra,2,5,129124.51,117323.87,11800.64,39473,27672.36,11800.64,3540.19,2950.15,590.04
MAR,19,Alorton,2,10,1539844.8,1392047.31,147797.49,517713,369934.73,147778.27,44333.69,36944.74,7388.95
MAR,19,Alsey,2,7,226232.75,207332.21,18900.54,71834,52933.43,18900.57,5670.22,4725.19,945.03
MAR,19,Alsip,14,70,6640465.23,6074362.18,566103.05,2062234,1496270.97,565963.03,169789.99,141491.66,28298.33
MAR,19,Altamont,8,36,1358649.87,1252101.62,106548.25,385064,278516.03,106547.97,31964.8,26637.35,5327.45
MAR,19,Alto Pass,1,4,22175.02,21219.09,955.93,8121,7165.02,955.98,286.84,239.03,47.81
MAR,19,Alton,32,141,8086520.54,7411968.57,674551.97,2497968,1823413.79,674554.21,202367.58,168639.69,33727.89
MAR,19,Altona,1,5,131552.19,121935.84,9616.35,40021,30404.65,9616.35,2884.98,2404.15,480.83
MAR,19,Amboy,6,28,1111609.54,1029488.05,82121.49,333011,250891.02,82119.98,24636.14,20530.12,4106.02
MAR,19,Andalusia,1,4,103112.89,96087.54,7025.35,28665,21639.5,7025.5,2107.7,1756.42,351.28
MAR,19,Andover,1,5,222939.53,205431.69,17507.84,74430,56922.16,17507.84,5252.37,4376.97,875.4
MAR,19,Anna,10,47,1924693.76,1769012.44,155681.32,555456,399775.22,155680.78,46704.81,38920.7,7784.11
MAR,19,Annawan,4,20,880795.65,808325.59,72470.06,291540,219070.36,72469.64,21741.12,18117.6,3623.52
MAR,19,Antioch,15,72,5829452.82,5358052.2,471400.62,1957312,1485911.27,471400.73,141420.98,117850.83,23570.15
MAR,19,Arcola,3,13,761087.14,704408.63,56678.51,223500,166821.55,56678.45,17003.68,14169.74,2833.94
MAR,19,Arenzville,1,2,26281.42,23109.78,3171.64,10046,6874.36,3171.64,951.49,792.91,158.58
MAR,19,Argenta,2,10,301548.63,283284.13,18264.5,94649,76384.4,18264.6,5479.43,4566.19,913.24
MAR,19,Arlington,2,10,313441.23,280386.02,33055.21,104337,71281.98,33055.02,9916.63,8263.86,1652.77
MAR,19,Aroma Park,4,15,826062.9,754856.03,71206.87,258095,186897.28,71197.72,21359.42,17799.52,3559.9
MAR,19,Arthur,3,14,510541.45,467291.5,43249.95,173223,129972.95,43250.05,12975.21,10812.68,2162.53
MAR,19,Ashkum,2,6,243354.61,230294.47,13060.14,94829,81768.86,13060.14,3918.06,3265.05,653.01
MAR,19,Ashland,2,9,249843.21,231557.15,18286.06,73139,54852.94,18286.06,5485.93,4571.62,914.31
MAR,19,Ashley,4,20,706578.83,656010.31,50568.52,222415,171846.52,50568.48,15170.86,12642.4,2528.46
MAR,19,Ashmore,4,20,677771.74,626354.46,51417.28,204453,153035.19,51417.81,15425.41,12854.5,2570.91
MAR,19,Ashton,3,15,484107.45,440532.37,43575.08,153727,110115.56,43611.44,13083.44,10902.87,2180.57
MAR,19,Assumption,4,19,464427.86,430877.19,33550.67,136537,102986.46,33550.54,10065.26,8387.72,1677.54
MAR,19,Astoria,1,3,123289.48,120628.15,2661.33,31127,28465.64,2661.36,798.41,665.34,133.07
MAR,19,Athens,4,20,742932.86,679439.32,63493.54,225077,161582.56,63494.44,19048.59,15873.83,3174.76
MAR,19,Atkinson,1,5,88226.45,80256.81,7969.64,29241,21271.36,7969.64,2390.88,1992.4,398.48
MAR,19,Atlanta,4,16,463389.37,429957.31,33432.06,133547,100114.65,33432.35,10029.85,8358.22,1671.63
MAR,19,Atwood,2,10,335739.82,309061.36,26678.46,95153,68474.44,26678.56,8003.68,6669.73,1333.95
MAR,19,Auburn,9,37,1854840.78,1696833.02,158007.76,543914,385906.47,158007.53,47402.51,39502.1,7900.41
MAR,19,Augusta,3,10,328231.81,303382.56,24849.25,97261,72411.88,24849.12,7454.78,6212.32,1242.46
MAR,19,Aurora,29,140,10848385.35,9934854.22,913531.13,3304124,2390426.96,913697.04,274110.22,228425.25,45684.97
MAR,19,Ava,2,7,259908.71,248658.54,11250.17,71654,60404.06,11249.94,3375.07,2812.55,562.52
MAR,19,Aviston,3,8,189828.55,180767.29,9061.26,59358,50296.57,9061.43,2718.53,2265.44,453.09
MAR,19,Avon,2,9,313656.55,283801.89,29854.66,98417,68563.12,29853.88,8956.31,7463.6,1492.71
MAR,19,Baldwin,2,6,118055.8,107624.59,10431.21,37612,27180.9,10431.1,3129.39,2607.83,521.56
MAR,19,Banner,2,8,271678.01,255620.8,16057.21,82005,65947.79,16057.21,4817.22,4014.35,802.87
MAR,19,Barry,4,19,860940.37,783837.73,77102.64,272640,195573.47,77066.53,23120.1,19266.77,3853.33
MAR,19,Bartelso,4,11,189375.81,173230.02,16145.79,62059,45913.05,16145.95,4843.81,4036.51,807.3
MAR,19,Bartlett,15,68,5483358.24,5031957.08,451401.16,1706164,1254763.08,451400.92,135420.86,112850.73,22570.13
MAR,19,Bartonville,17,82,3500949.11,3234036.73,266912.38,1112711,845798.15,266912.85,80074.31,66728.65,13345.66
MAR,19,Basco,1,3,160106.38,145660.87,14445.51,56567,42121.49,14445.51,4333.64,3611.37,722.27
MAR,19,Batavia,6,30,1782102.94,1630418.84,151684.1,567026,415454.99,151571.01,45471.81,37893.19,7578.62
MAR,19,Batchtown,1,5,73378.13,67879.29,5498.84,19868,14369.16,5498.84,1649.71,1374.76,274.95
MAR,19,Bath,3,10,195586.27,176538.34,19047.93,62877,43829.27,19047.73,5714.31,4761.93,952.38
MAR,19,Bay View Gardens,1,5,112007.8,99904.19,12103.61,38669,26565.29,12103.71,3631.22,3026.01,605.21
MAR,19,Beach Park,6,27,2198671.61,2023777.09,174894.52,779961,605094.14,174866.86,52460.17,43716.83,8743.34
MAR,19,Beardstown,11,51,2452311.53,2243698.45,208613.08,713098,504442.06,208655.94,62597.36,52164.49,10432.87
MAR,19,Beaverville,2,5,0,0,0,55504.63,55504.63,0,0,0,0
MAR,19,Beckemeyer,2,10,682227.23,620269.92,61957.31,217743,155785.66,61957.34,18587.36,15489.47,3097.89
MAR,19,Bedford Park,7,33,4470406.78,4125485.53,344921.25,1449121,1104259.72,344861.28,103458.71,86215.61,17243.1
MAR,19,Beecher,9,40,1692233.45,1556903.36,135330.09,546038,410707.38,135330.62,40599.66,33833.07,6766.59
MAR,19,Belgium,2,9,715775.1,659292.43,56482.67,234289,177806.28,56482.72,16944.93,14120.78,2824.15
MAR,19,Belleville,30,139,7775701.01,7159853.94,615847.07,2505013,1889165.74,615847.26,184755.6,153963.05,30792.55
MAR,19,Bellevue,3,15,847741.85,778027.5,69714.35,271415,201700.7,69714.3,20914.47,17428.73,3485.74
MAR,19,Bellwood,2,8,373732.83,344722.82,29010.01,128266,99255.99,29010.01,8703.07,7252.56,1450.51
MAR,19,Belvidere,26,127,8541900.61,7827932.13,713968.48,2767332,2053662.92,713669.08,214102.01,178418.38,35683.63
MAR,19,Bement,4,18,524530.49,477039.53,47490.96,177739,130248.41,47490.59,14247.39,11872.83,2374.56
MAR,19,Benld,4,19,496831.9,449269.61,47562.29,149885,102322.98,47562.02,14268.75,11890.63,2378.12
MAR,19,Bensenville,7,35,2542186.58,2344277.4,197909.18,835757,637847.78,197909.22,59373.08,49477.61,9895.47
MAR,19,Benson,1,4,198322.3,184491.04,13831.26,55679,41847.79,13831.21,4149.34,3457.78,691.56
MAR,19,Benton,13,61,2311544.72,2119886.73,191657.99,716328,524668.75,191659.25,57498.32,47915.29,9583.03
MAR,19,Berkeley,6,30,2545441.05,2324573.72,220867.33,820286,599367.94,220918.06,66275.8,55229.84,11045.96
MAR,19,Berwyn,55,253,15498052.06,14138292.11,1359759.95,5322676,3962908.41,1359767.59,407932.97,339944.2,67988.77
MAR,19,Bethalto,5,24,1075060.24,989801.34,85258.9,350565,265306.17,85258.83,25577.85,21314.89,4262.96
MAR,19,Bethany,1,5,71522.33,64076.3,7446.03,25984,18538.05,7445.95,2233.84,1861.54,372.3
MAR,19,Big Rock,1,4,194457.84,177453.13,17004.71,60656,43651.29,17004.71,5101.48,4251.24,850.24
