Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
May,18,Abingdon,4,16,556962.47,519446.05,37516.42,153324,115886.7,37437.3,11231.32,9359.43,1871.89
May,18,Adams County,11,38,1248639.79,1147765.27,100874.52,398316,297440.5,100875.5,30262.89,25219.09,5043.8
May,18,Addieville,1,4,86418.36,76944.32,9474.04,34182,24707.96,9474.04,2842.26,2368.55,473.71
May,18,Addison,18,87,7048937.96,6440241.48,608696.48,2268339,1659645.34,608693.66,182609.08,152174.28,30434.8
May,18,Albany,2,8,209685.76,192866.59,16819.17,63806,46986.8,16819.2,5045.76,4204.8,840.96
May,18,Albers,1,3,151467.5,141897.97,9569.53,51264,41694.47,9569.53,2870.84,2392.37,478.47
May,18,Albion,3,11,142666.45,127207.69,15458.76,30764,15305.24,15458.76,4637.68,3864.74,772.94
May,18,Aledo,4,14,499981.86,453327.17,46654.69,134790,88135.28,46654.72,13996.49,11663.74,2332.75
May,18,Alexander County,3,12,456050.9,420772.68,35278.22,130997,95718.97,35278.03,10583.55,8819.63,1763.92
May,18,Alexis,2,7,130139.43,119319,10820.43,41081,30260.37,10820.63,3246.28,2705.23,541.05
May,18,Algonquin,15,65,2259565.13,2101401.54,158163.59,716885,558722.1,158162.9,47449.36,39541.19,7908.17
May,18,Alhambra,2,5,100803.97,91598.81,9205.16,29205,19999.84,9205.16,2761.53,2301.28,460.25
May,18,Alorton,2,10,1529448.29,1398484.19,130964.1,445952,314915.92,131036.08,39310.96,32759.14,6551.82
May,18,Alsey,1,5,160519.27,144688.24,15831.03,51248,35417.21,15830.79,4749.34,3957.79,791.55
May,18,Alsip,13,65,5348729.77,4942588.04,406141.73,1688987,1282784.16,406202.84,121861.42,101551.21,20310.21
May,18,Altamont,7,31,618119.67,567193.43,50926.24,183116,132190.22,50925.78,15278.01,12731.68,2546.33
May,18,Alton,32,137,6998493.32,6418288.37,580204.95,2100076,1519658.3,580417.7,174126.51,145105.44,29021.07
May,18,Altona,1,5,146562.25,135696.83,10865.42,42884,32018.58,10865.42,3259.63,2716.36,543.27
May,18,Amboy,6,28,969389.91,884828.6,84561.31,311143,226580.73,84562.27,25369.07,21140.91,4228.16
May,18,Andalusia,1,4,59393.52,51915.69,7477.83,18880,11402.32,7477.68,2243.37,1869.48,373.89
May,18,Anna,9,42,1391906.19,1294161.85,97744.34,398478,300733.67,97744.33,29323.49,24436.25,4887.24
May,18,Annawan,3,15,972110.67,892277.03,79833.64,311403,231567,79836,23950.98,19959.15,3991.83
May,18,Antioch,12,57,4563893.36,4205505.69,358387.67,1445060,1086672.44,358387.56,107516.84,89597.39,17919.45
May,18,Arcola,2,8,328471.26,298131.71,30339.55,95335,64995.51,30339.49,9101.91,7584.92,1516.99
May,18,Arenzville,1,2,38978.44,34937.61,4040.83,13724,9683.12,4040.88,1212.26,1010.22,202.04
May,18,Argenta,2,10,221821.55,199963.92,21857.63,69035,47177.07,21857.93,6557.52,5464.61,1092.91
May,18,Arlington,1,4,139947.42,129891.5,10055.92,41244,31188.03,10055.97,3016.86,2514.05,502.81
May,18,Aroma Park,4,15,624302.35,573023.79,51278.56,211737,160457.83,51279.17,15383.93,12819.95,2563.98
May,18,Arthur,3,14,430445.23,390736.34,39708.89,134863,95154.11,39708.89,11912.77,9927.31,1985.46
May,18,Ashkum,2,6,257324.61,241819.76,15504.85,101973,86468.25,15504.75,4651.46,3876.22,775.24
May,18,Ashland,2,9,252948.89,232027.44,20921.45,78599,57677.55,20921.45,6276.46,5230.39,1046.07
May,18,Ashley,3,15,527105.5,474163.92,52941.58,158325,105383.34,52941.66,15882.64,13235.54,2647.1
May,18,Ashmore,3,15,487282.7,445364.89,41917.81,135998,94079.66,41918.34,12575.59,10479.66,2095.93
May,18,Ashton,3,14,498245.39,457195.06,41050.33,152230,111179.52,41050.48,12315.28,10262.73,2052.55
May,18,Assumption,3,14,279036.87,260442.78,18594.09,85489,66894.95,18594.05,5578.39,4648.67,929.72
May,18,Astoria,1,3,18494.65,16633.82,1860.83,5649,3788.17,1860.83,558.25,465.21,93.04
May,18,Athens,4,19,636090.92,589653.08,46437.84,189243,142805.43,46437.57,13931.42,11609.51,2321.91
May,18,Atlanta,4,16,318714.05,296552.08,22161.97,102952,80789.83,22162.17,6648.66,5540.56,1108.1
May,18,Atwood,2,10,216203.93,199895.37,16308.56,56380,40071.89,16308.11,4892.52,4077.11,815.41
May,18,Auburn,8,31,1167412.26,1068312.34,99099.92,357426,258325.19,99100.81,29730.63,24775.53,4955.1
May,18,Augusta,3,10,167255.23,151091.5,16163.73,47755,31591.27,16163.73,4849.17,4040.99,808.18
May,18,Aurora,32,145,9141907.87,8392990.42,748917.45,2853486,2104591.23,748894.77,224669.55,187224.68,37444.87
May,18,Ava,2,7,221145.35,203604.92,17540.43,47907,30366.88,17540.12,5262.07,4385.06,877.01
May,18,Aviston,3,9,275513.3,255280.37,20232.93,89349,69116.21,20232.79,6069.92,5058.26,1011.66
May,18,Avon,1,4,195168.15,177459.68,17708.47,54012,36303.73,17708.27,5312.54,4427.12,885.42
May,18,Baldwin,2,5,83916.78,77809,6107.78,31607,25499.28,6107.72,1832.33,1526.95,305.38
May,18,Banner,2,8,300525.2,284292.59,16232.61,101162,84929.39,16232.61,4869.85,4058.21,811.64
May,18,Barry,5,22,805104.95,747708.08,57396.87,240113,182698.85,57414.15,17224.42,14353.69,2870.73
May,18,Bartelso,4,11,142226.51,128587.57,13638.94,51076,37436.88,13639.12,4091.79,3409.83,681.96
May,18,Bartlett,12,53,4278870.49,3914759.7,364110.79,1347906,983815.49,364090.51,109227.73,91023.11,18204.62
May,18,Bartonville,16,78,3073397.14,2822574.36,250822.78,972914,722089.65,250824.35,75247.82,62706.52,12541.3
May,18,Basco,1,3,57829.97,52898.28,4931.69,20369,15437.31,4931.69,1479.55,1232.96,246.59
May,18,Batavia,6,30,940618.81,859810.69,80808.12,290433,209624.89,80808.11,24242.57,20202.16,4040.41
May,18,Batchtown,1,5,146565.63,135965.23,10600.4,38996,28395.79,10600.21,3180.12,2650.1,530.02
May,18,Bath,1,3,65952.05,62077.68,3874.37,22819,18944.63,3874.37,1162.36,968.64,193.72
May,18,Beach Park,6,28,1267238.73,1156352.12,110886.61,439420,328534.24,110885.76,33265.8,27721.5,5544.3
May,18,Beardstown,10,48,2035275.33,1876366.01,158909.32,585021,426111.89,158909.11,47673.16,39727.64,7945.52
May,18,Beaverville,2,5,0,0,0,0,0,0,0,0,0
May,18,Beckemeyer,2,10,617466.21,555869.39,61596.82,206228,144631.23,61596.77,18479.13,15399.28,3079.85
May,18,Bedford Park,5,23,2802265.55,2550744.37,251521.18,900486,648928.59,251557.41,75467.36,62889.47,12577.89
May,18,Beecher,9,40,1374485.73,1267463.24,107022.49,448494,341485.18,107008.82,32103.06,26752.57,5350.49
May,18,Belgium,2,9,493003.5,451804.86,41198.64,141250,100051.36,41198.64,12359.63,10299.7,2059.93
May,18,Belleville,26,120,6108251.29,5617498.28,490753.01,1993936,1503154.5,490781.5,147235.39,122696.2,24539.19
May,18,Bellevue,3,15,628308.39,585005.84,43302.55,207712,164409.53,43302.47,12990.96,10825.81,2165.15
May,18,Bellwood,2,8,292528.91,266716.69,25812.22,108406,82593.72,25812.28,7743.86,6453.23,1290.63
May,18,Belvidere,21,101,6970074.79,6391604.74,578470.05,2146463,1567981.62,578481.38,173545.42,144621.19,28924.23
May,18,Bement,4,18,410817.68,378368.04,32449.64,130188,97738.24,32449.76,9735.09,8112.58,1622.51
May,18,Benld,4,19,416724.58,374946.41,41778.17,131340,89561.55,41778.45,12533.69,10444.74,2088.95
May,18,Bensenville,6,28,1747411.39,1614405.64,133005.75,525922,392916.21,133005.79,39902.04,33251.69,6650.35
May,18,Benson,1,4,167955.16,161138.41,6816.75,49943,43126.25,6816.75,2045.1,1704.25,340.85
