Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
NOV,17,Abingdon,4,15,477325.76,439261.54,38064.22,133212,95147.74,38064.26,11419.37,9516.14,1903.23
NOV,17,Adams County,11,38,1599621.77,1469392.22,130229.55,479981,349752.56,130228.44,39068.84,32557.37,6511.47
NOV,17,Addieville,1,4,73841.84,68975.26,4866.58,25202,20335.65,4866.35,1459.95,1216.62,243.33
NOV,17,Addison,18,85,6574168.33,6049521.31,524647.02,2054533,1529886.25,524646.75,157394.79,131162.36,26232.43
NOV,17,Albany,2,8,182559.37,172650.87,9908.5,57184,47275.35,9908.65,2972.66,2477.22,495.44
NOV,17,Albers,1,3,96442.44,87268.81,9173.63,36540,27326.37,9213.63,2764.13,2303.45,460.68
NOV,17,Albion,3,10,151405.1,140832.93,10572.17,31931,21358.83,10572.17,3171.73,2643.1,528.63
NOV,17,Aledo,3,11,380429.9,349322.86,31107.04,114121,83014.05,31106.95,9332.15,7776.78,1555.37
NOV,17,Alexander County,3,12,391918.28,355620.91,36297.37,116823,80525.23,36297.77,10889.5,9074.58,1814.92
NOV,17,Alexis,1,4,89679.93,81729.14,7950.79,26575,18624.21,7950.79,2385.25,1987.71,397.54
NOV,17,Algonquin,13,59,2060875.67,1894498.21,166377.46,637042,470664.26,166377.74,49913.81,41594.85,8318.96
NOV,17,Alhambra,2,5,76016.03,70011.78,6004.25,23151,17146.75,6004.25,1801.36,1501.14,300.22
NOV,17,Alorton,1,5,1368724.69,1260961.79,107762.9,393686,285532.48,108153.52,32446.09,27038.41,5407.68
NOV,17,Alsey,1,4,41926.11,38702.04,3224.07,12103,8878.48,3224.52,967.35,806.13,161.22
NOV,17,Alsip,11,55,4534011.65,4162777.23,371234.42,1430333,1058925.51,371407.49,111422.88,92852.41,18570.47
NOV,17,Altamont,6,26,465284.91,427288.82,37996.09,126802,88805.87,37996.13,11399.07,9499.23,1899.84
NOV,17,Alton,31,128,6228507.83,5763232.54,465275.29,1820465,1355189.68,465275.32,139583.9,116319.95,23263.95
NOV,17,Altona,1,5,136784.13,125105.17,11678.96,38865,27186.04,11678.96,3503.73,2919.78,583.95
NOV,17,Amboy,6,28,918690.34,851710.01,66980.33,274087,207106.77,66980.23,20094.16,16745.14,3349.02
NOV,17,Andalusia,1,3,51269.68,46069.01,5200.67,14441,9240.33,5200.67,1560.2,1300.17,260.03
NOV,17,Anna,7,32,983488.26,902581.58,80906.68,306794,225887.67,80906.33,24272.08,20226.74,4045.34
NOV,17,Annawan,3,15,724124.75,673556.28,50568.47,241231,190662.61,50568.39,15170.73,12642.29,2528.44
NOV,17,Antioch,16,73,4410917.95,4038698.7,372219.25,1406314,1034094.97,372219.03,111666.58,93055.48,18611.1
