Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
OCT,18,Abingdon,3,13,614230.9,572512.05,41718.85,148296,106577.14,41718.86,12515.81,10429.83,2085.98
OCT,18,Adams County,11,37,1445306.92,1333462.04,111844.88,431412,319567.17,111844.83,33553.78,27961.5,5592.28
OCT,18,Addieville,1,4,82520.77,71723.21,10797.56,30233,19435.44,10797.56,3239.31,2699.43,539.88
OCT,18,Addison,20,95,7146432.37,6523831.96,622600.41,2219533,1596933.28,622599.72,186780.79,155650.68,31130.11
OCT,18,Albany,2,8,185687.27,172269.51,13417.76,63408,49989.89,13418.11,4025.5,3354.59,670.91
OCT,18,Albers,1,3,105190.16,97333.81,7856.35,41596,33739.65,7856.35,2356.93,1964.1,392.83
OCT,18,Albion,4,16,234638.89,212904.31,21734.58,55238,33503.59,21734.41,6520.41,5433.69,1086.72
OCT,18,Aledo,6,24,594952.03,542371.55,52580.48,176331,123750.56,52580.44,15774.26,13145.22,2629.04
OCT,18,Alexander County,2,7,162394.85,149587.17,12807.68,50033,37225.32,12807.68,3842.38,3201.98,640.4
OCT,18,Alexis,1,3,99926.42,93005.92,6920.5,28879,21958.85,6920.15,2076.12,1730.1,346.02
OCT,18,Algonquin,15,67,2332954.54,2135139.42,197815.12,747401,549585.66,197815.34,59345.22,49454.37,9890.85
OCT,18,Alhambra,2,5,117024.55,107033.69,9990.86,34705,24714.14,9990.86,2997.28,2497.74,499.54
OCT,18,Alorton,2,10,1727159.82,1586463.97,140695.85,499524,358642.84,140881.16,42264.43,35220.37,7044.06
OCT,18,Alsey,2,9,331656.85,306226.34,25430.51,93390,67959.49,25430.51,7629.22,6357.68,1271.54
OCT,18,Alsip,13,65,5207216.75,4797345.95,409870.8,1662095,1252157.35,409937.65,122981.8,102484.86,20496.94
OCT,18,Altamont,7,31,846130.62,780802.66,65327.96,226189,160860.69,65328.31,19598.78,16332.33,3266.45
OCT,18,Alton,33,142,7377889.05,6797842.77,580046.28,2224514,1644470.35,580043.65,174014.66,145012.26,29002.4
OCT,18,Altona,1,5,147771.99,133625.1,14146.89,45558,31411.12,14146.88,4244.12,3536.77,707.35
OCT,18,Amboy,6,28,1043391.96,959125.81,84266.15,325009,240743.48,84265.52,25279.82,21066.51,4213.31
OCT,18,Andalusia,1,4,56039.77,48593.34,7446.43,17930,10483.57,7446.43,2233.98,1861.65,372.33
OCT,18,Anna,10,47,1369405.99,1274628.55,94777.44,429634,334844.63,94789.37,28436.99,23697.52,4739.47
OCT,18,Annawan,3,15,919326.04,865743.51,53582.53,283401,229818.47,53582.53,16074.93,13395.77,2679.16
OCT,18,Antioch,13,63,4796763.95,4405175.63,391588.32,1556783,1165194.93,391588.07,117477.21,97897.7,19579.51
OCT,18,Arcola,3,13,537573.23,497345.88,40227.35,160802,120574.36,40227.64,12068.47,10057.07,2011.4
OCT,18,Arenzville,1,2,23023.93,19980.18,3043.75,9694,6650.25,3043.75,913.14,760.96,152.18
OCT,18,Argenta,2,10,227211.15,211343.22,15867.93,70797,54929.01,15867.99,4760.39,3966.99,793.4
OCT,18,Arlington,2,10,255153.99,232094.5,23059.49,81488,58427.99,23060.01,6918.1,5765.09,1153.01
OCT,18,Aroma Park,4,15,573117.03,518954.98,54162.05,201609,147446.55,54162.45,16248.88,13540.74,2708.14
OCT,18,Arthur,3,14,366002.11,341258.86,24743.25,124260,99516.94,24743.06,7423.05,6185.87,1237.18
OCT,18,Ashkum,2,6,162340.7,155351.92,6988.78,56295,49306.22,6988.78,2096.66,1747.22,349.44
OCT,18,Ashland,2,9,225083.3,210523.18,14560.12,69523,54963.12,14559.88,4368.01,3640.02,727.99
OCT,18,Ashley,4,20,447546.88,408171.22,39375.66,140209,100833.59,39375.41,11812.79,9844,1968.79
OCT,18,Ashmore,3,15,550363.74,509916.34,40447.4,142964,102516.64,40447.36,12134.4,10111.99,2022.41
OCT,18,Ashton,3,15,457122.99,408661.98,48461.01,137334,88873.14,48460.86,14538.23,12115.2,2423.03
OCT,18,Assumption,4,19,329773.83,299491.52,30282.31,107509,77226.61,30282.39,9084.95,7570.8,1514.15
OCT,18,Astoria,1,3,56188.76,50816.4,5372.36,16310,10937.5,5372.5,1611.76,1343.13,268.63
OCT,18,Athens,4,20,661684,605644.03,56039.97,203354,147314.03,56039.97,16812.24,14010.2,2802.04
OCT,18,Atlanta,4,16,386833.98,356347.92,30486.06,114240,83753.94,30486.06,9146.03,7621.69,1524.34
OCT,18,Atwood,2,10,350306.53,319787.29,30519.24,96965,66445.66,30519.34,9155.95,7629.96,1525.99
OCT,18,Auburn,8,32,924937.57,847146.69,77790.88,301479,223688.12,77790.88,23337.66,19448.05,3889.61
OCT,18,Augusta,3,10,227192.42,211371.58,15820.84,63947,48126.51,15820.49,4746.27,3955.23,791.04
OCT,18,Aurora,32,149,8837669.75,8137381.2,700288.55,2712695,2012387.16,700307.84,210093.43,175077.91,35015.52
OCT,18,Ava,2,7,127142.4,118212.73,8929.67,35796,26866.16,8929.84,2678.93,2232.44,446.49
OCT,18,Aviston,3,9,159032.91,148557.16,10475.75,53446,42970.23,10475.77,3142.74,2618.96,523.78
OCT,18,Avon,2,9,335329.69,301651.6,33678.09,98470,64792.01,33677.99,10103.47,8419.56,1683.91
OCT,18,Baldwin,2,5,69651.74,62235.94,7415.8,22250,14834.49,7415.51,2224.73,1853.95,370.78
OCT,18,Banner,2,8,238509.73,221537.87,16971.86,84001,67029.13,16971.87,5091.6,4243,848.6
OCT,18,Barry,5,22,638754.75,589810.46,48944.29,202646,153718.28,48927.72,14678.4,12232.01,2446.39
OCT,18,Bartelso,4,11,174464.83,159980.6,14484.23,60066,45581.74,14484.26,4345.45,3621.21,724.24
OCT,18,Bartlett,13,59,4528889.81,4147145.65,381744.16,1396791,1015046.66,381744.34,114523.9,95436.62,19087.28
OCT,18,Bartonville,17,82,2845422.65,2604371.59,241051.06,899250,658180.56,241069.44,72321.45,60267.88,12053.57
OCT,18,Basco,1,3,93952.64,85746.29,8206.35,32815,24608.65,8206.35,2461.9,2051.58,410.32
OCT,18,Batavia,6,30,1413490.65,1298690.86,114799.79,434616,319815.84,114800.16,34440.33,28700.26,5740.07
OCT,18,Batchtown,1,5,113976.11,103224.85,10751.26,34345,23593.38,10751.62,3225.54,2687.96,537.58
OCT,18,Bath,3,10,121641.6,117229.44,4412.16,45004,40591.84,4412.16,1323.72,1103.1,220.62
OCT,18,Bay View Gardens,1,5,54259.45,48037.23,6222.22,21457,15234.78,6222.22,1866.73,1555.61,311.12
OCT,18,Beach Park,7,34,1698692.86,1554795.37,143897.49,590382,446451.26,143930.74,43179.45,35982.89,7196.56
OCT,18,Beardstown,11,51,2092506.95,1920729.78,171777.17,609505,437727.64,171777.36,51533.8,42944.86,8588.94
OCT,18,Beaverville,2,5,0,0,0,0,0,0,0,0,0
OCT,18,Beckemeyer,2,10,556341.28,515779.14,40562.14,168751,128188.75,40562.25,12168.77,10140.64,2028.13
OCT,18,Bedford Park,5,23,3107560.78,2865321.71,242239.07,989934,747211.55,242722.45,72816.93,60680.77,12136.16
OCT,18,Beecher,9,40,1419063.76,1313336.18,105727.58,431055,325328.08,105726.92,31718.61,26432.18,5286.43
OCT,18,Belgium,2,9,652905.85,608800.98,44104.87,182549,138444.13,44104.87,13231.56,11026.31,2205.25
OCT,18,Belleville,29,135,6577848.67,6049712.8,528135.87,2096425,1568288.11,528136.89,158442.29,132035.29,26407
OCT,18,Bellevue,3,15,578190.11,530564.41,47625.7,195308,147682.3,47625.7,14287.84,11906.54,2381.3
OCT,18,Bellwood,2,8,365087.25,333961.2,31126.05,118507,87380.9,31126.1,9337.92,7781.61,1556.31
OCT,18,Belvidere,21,102,6623842.99,6041913.23,581929.76,2084704,1502788.9,581915.1,174575.71,145479.79,29095.92
OCT,18,Bement,4,18,446475.74,412977.07,33498.67,147037,113547.49,33489.51,10047,8372.51,1674.49
OCT,18,Benld,3,15,428311.43,385475.23,42836.2,128324,85487.37,42836.63,12851.05,10709.21,2141.84
OCT,18,Bensenville,8,37,2065107.92,1871983.71,193124.21,676633,483509.05,193123.95,57937.47,48281.26,9656.21
OCT,18,Benson,1,4,214785.21,194517.35,20267.86,61335,41067.06,20267.94,6080.4,5067,1013.4
OCT,18,Benton,13,61,1986166.92,1822804.27,163362.65,571216,407853.26,163362.74,49009.31,40841.13,8168.18
OCT,18,Berkeley,6,29,2045826.2,1862050.18,183776.02,674936,491159.85,183776.15,55133.11,45944.27,9188.84
OCT,18,Berwyn,52,237,11927845.38,10881172.75,1046672.63,4057156,3010488.83,1046667.17,314002.16,261668.5,52333.66
OCT,18,Bethalto,3,14,567631.23,522958.23,44673,167797,123124.05,44672.95,13402.11,11168.43,2233.68
OCT,18,Bethany,1,5,91894.22,83670.72,8223.5,31856,23632.57,8223.43,2467.07,2055.9,411.17
OCT,18,Big Rock,1,4,166497.27,159044.34,7452.93,47598,40145.07,7452.93,2235.95,1863.29,372.66
OCT,18,Bishop Hill,1,3,38634.35,35639.61,2994.74,14620,11625.26,2994.74,898.43,748.69,149.74
OCT,18,Blandinsville,3,9,147162.22,137193.58,9968.64,41074,31105.43,9968.57,2990.63,2492.19,498.44
OCT,18,Bloomingdale,7,28,1164774.73,1061915.6,102859.13,402079,299219.7,102859.3,30857.95,25714.96,5142.99
OCT,18,Bloomington,54,251,16464037.41,15145590.24,1318447.17,5252467,3933536.77,1318930.23,395681.63,329734.78,65946.85
OCT,18,Blue Island,29,132,6279515.47,5767711.77,511803.7,2100373,1588568.73,511804.27,153542.64,127952.24,25590.4
OCT,18,Blue Mound,2,10,340017.51,314511.57,25505.94,116846,91340.19,25505.81,7651.73,6376.45,1275.28
OCT,18,Bluffs,1,5,369154.91,344306.63,24848.28,112337,87488.57,24848.43,7454.53,6212.11,1242.42
OCT,18,Bond County,1,3,48927.98,45131.69,3796.29,15731,11934.66,3796.34,1138.9,949.09,189.81
OCT,18,Boone County,7,31,1479371.2,1342645.2,136726,497950,361223.82,136726.18,41017.98,34181.65,6836.33
OCT,18,Bourbonnais,4,18,796792.85,730040.34,66752.51,313616,246863.64,66752.36,20026.06,16688.38,3337.68
OCT,18,Bowen,1,3,54676.25,50687.62,3988.63,16936,12947.22,3988.78,1196.71,997.26,199.45
OCT,18,Braceville,1,5,167977.13,151785.34,16191.79,49161,32969.21,16191.79,4857.55,4047.96,809.59
OCT,18,Bradford,2,7,116840.69,106565.04,10275.65,37551,27275.35,10275.65,3082.84,2569.03,513.81
OCT,18,Bradley,21,96,5002273.6,4586253.29,416020.31,1632882,1216861.42,416020.58,124807.13,104006,20801.13
OCT,18,Braidwood,5,23,840621.88,770960.08,69661.8,250180,180518.15,69661.85,20898.8,17415.69,3483.11
OCT,18,Breese,9,37,1027249.39,943419.8,83829.59,334888,251059.1,83828.9,25149.12,20957.63,4191.49
OCT,18,Bridgeport,6,22,536638.08,496040.71,40597.37,160120,119523.53,40596.47,12179.04,10149.21,2029.83
OCT,18,Bridgeview,27,133,8482285.19,7783515.59,698769.6,2684651,1985780.09,698870.91,209662.26,174718.63,34943.63
OCT,18,Brimfield,3,15,455853.82,419873.05,35980.77,157108,121127.82,35980.18,10794.18,8995.16,1799.02
OCT,18,Broadlands,1,5,135928.03,120573.65,15354.38,40604,25249.72,15354.28,4606.31,3838.59,767.72
OCT,18,Broadview,6,28,1608264.7,1481385.39,126879.31,549740,422860.5,126879.5,38064.09,31720.08,6344.01
OCT,18,Brocton,1,5,78288.63,73240.44,5048.19,20264,15215.22,5048.78,1514.62,1262.19,252.43
OCT,18,Brookfield,12,57,2894523.53,2630592.7,263930.83,982164,718231.27,263932.73,79180.56,65983.83,13196.73
OCT,18,Brooklyn,1,4,150773.01,141975.49,8797.52,43294,34497.02,8796.98,2639.09,2199.24,439.85
OCT,18,Brookport,2,7,105033.63,97079.62,7954.01,28173,20218.92,7954.08,2386.29,1988.57,397.72
OCT,18,Brown County,1,2,2239.74,2093.13,146.61,945,798.39,146.61,43.98,36.65,7.33
OCT,18,Brussels,2,6,91141.54,88507.04,2634.5,29500,26865.5,2634.5,790.32,658.59,131.73
OCT,18,Bryant,1,3,153592.83,140544.48,13048.35,46660,33611.65,13048.35,3914.53,3262.11,652.42
OCT,18,Buckley,2,10,379854.95,351952.58,27902.37,109479,81576.33,27902.67,8370.92,6975.77,1395.15
OCT,18,Buckner,1,5,170841.88,157484.81,13357.07,52270,38912.93,13357.07,4007.23,3339.36,667.87
OCT,18,Buda,1,3,103206.88,94846.43,8360.45,36169,27808.55,8360.45,2508.21,2090.18,418.03
OCT,18,Buffalo,1,3,53239.03,51387.57,1851.46,18590,16738.54,1851.46,555.44,462.86,92.58
OCT,18,Buffalo Grove,8,36,1926892.14,1767004.48,159887.66,669911,510023.47,159887.53,47966.64,39972.22,7994.42
OCT,18,Bull Valley,1,4,19392.09,16707.17,2684.92,5348,2663.08,2684.92,805.46,671.22,134.24
OCT,18,Bulpitt,2,10,293110.04,279000.83,14109.21,97844,83734.79,14109.21,4232.87,3527.39,705.48
OCT,18,Buncombe,2,8,200544.02,180024.53,20519.49,53216,32696.51,20519.49,6156,5130,1026
