Month,Year,Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
SEP,19,Abingdon,4,16,549232.62,502071.09,47161.53,158827,111665.51,47161.49,15563.26,13205.19,2358.07
SEP,19,Adams County,12,51,1375658.12,1240420.41,135237.71,441820,306582.15,135237.85,44628.38,37866.53,6761.85
SEP,19,Addieville,1,4,68650.63,63423.86,5226.77,25463,20236.4,5226.6,1724.73,1463.4,261.33
SEP,19,Addison,21,101,7074003.45,6474551.7,599451.75,2225946,1626493.56,599452.44,197819.26,167846.64,29972.62
SEP,19,Albany,2,7,151466.21,134216.78,17249.43,60994,43744.71,17249.29,5692.3,4829.83,862.47
SEP,19,Albers,1,5,95785.82,84337.93,11447.89,32927,21479.01,11447.99,3777.86,3205.46,572.4
SEP,19,Albion,4,17,270742.47,254304.88,16437.59,55988,39550.54,16437.46,5424.33,4602.46,821.87
SEP,19,Aledo,6,24,595452.38,544795.44,50656.94,177280,126623.22,50656.78,16716.71,14183.87,2532.84
SEP,19,Alexander County,3,13,322644.61,293472.41,29172.2,102742,73566.07,29175.93,9627.99,8169.2,1458.79
SEP,19,Alexis,2,7,113461.67,102400.65,11061.02,38136,27074.53,11061.47,3650.32,3097.25,553.07
SEP,19,Algonquin,16,74,2269360.84,2076211.2,193149.64,778408,585257.99,193150.01,63739.47,54081.97,9657.5
SEP,19,Alhambra,2,10,117244.32,106245,10999.32,39578,28578.73,10999.27,3629.8,3079.83,549.97
SEP,19,Alorton,2,10,1465850.06,1339898.55,125951.51,458434,332426.69,126007.31,41582.51,35282.13,6300.38
SEP,19,Alsey,1,5,158780.1,146899.57,11880.53,50386,38505.47,11880.53,3920.66,3326.62,594.04
SEP,19,Alsip,15,75,5063920.63,4644528.7,419391.93,1597855,1178767.18,419087.82,138299.13,117344.71,20954.42
SEP,19,Altamont,8,36,907141.83,833747.57,73394.26,256466,183131.46,73334.54,24200.17,20533.48,3666.69
SEP,19,Alto Pass,1,4,28435.19,24982.69,3452.5,6905,3452.5,3452.5,1139.31,966.68,172.63
SEP,19,Alton,33,147,7192564.11,6625197.44,567366.67,2167948,1600580.63,567367.37,187231.26,158862.93,28368.33
SEP,19,Altona,1,5,281286.92,263832.55,17454.37,80587,63132.63,17454.37,5759.95,4887.23,872.72
SEP,19,Amboy,6,28,1068883.04,980401.35,88481.69,332830,244348.41,88481.59,29198.94,24774.87,4424.07
SEP,19,Andalusia,1,4,91285.18,84376.43,6908.75,24829,17920.4,6908.6,2279.9,1934.46,345.44
SEP,19,Andover,1,5,158403.21,146528.61,11874.6,52711,40835.62,11875.38,3918.85,3325.08,593.77
SEP,19,Anna,11,53,1664294.5,1519055.85,145238.65,487863,342640.42,145222.58,47923.38,40662.27,7261.11
SEP,19,Annawan,4,20,834851.21,775748.39,59102.82,259661,200528.27,59132.73,19513.79,16557.15,2956.64
SEP,19,Antioch,16,77,5790898.3,5316592.91,474305.39,1917752,1443446.57,474305.43,156520.7,132805.44,23715.26
SEP,19,Arcola,3,13,648568.47,607847.13,40721.34,209591,168871.45,40719.55,13437.49,11401.52,2035.97
SEP,19,Arenzville,1,4,18076.55,16426.59,1649.96,5403,3753.09,1649.91,544.45,461.95,82.5
SEP,19,Argenta,2,9,237895.82,221922.11,15973.71,80730,64756.14,15973.86,5271.39,4472.7,798.69
SEP,19,Arlington,2,10,285799.55,268337.02,17462.53,92302,74839.72,17462.28,5762.53,4889.42,873.11
SEP,19,Aroma Park,4,16,847500.44,767509.44,79991,262184,182193.21,79990.79,26396.95,22397.41,3999.54
SEP,19,Arthur,3,15,443809.62,406709.41,37100.21,160526,123425.7,37100.3,12243.04,10388.05,1854.99
SEP,19,Ashkum,2,6,177014.2,167173.33,9840.87,57954,48113.13,9840.87,3247.55,2755.5,492.05
SEP,19,Ashland,2,9,200244.05,184070.87,16173.18,60450,44276.83,16173.17,5337.16,4528.5,808.66
SEP,19,Ashley,4,20,647280.49,597841.79,49438.7,185667,136228.37,49438.63,16314.73,13842.82,2471.91
SEP,19,Ashmore,3,15,554934.69,518656.36,36278.33,165861,129582.33,36278.67,11971.97,10158.04,1813.93
SEP,19,Ashton,3,15,408324.75,367529.12,40795.63,131460,90664.37,40795.63,13462.47,11422.7,2039.77
SEP,19,Assumption,4,20,388839.82,357137.02,31702.8,116923,85219.97,31703.03,10461.95,8876.8,1585.15
SEP,19,Astoria,1,3,57930.58,52484.75,5445.83,17136,11690.17,5445.83,1797.11,1524.82,272.29
SEP,19,Athens,4,20,601896.91,550902.86,50994.05,189041,138047.26,50993.74,16827.85,14278.17,2549.68
